Title,Release Date,Budget,Domestic Gross,Worldwide Gross,Genre,Director,Awards,imdbRating
The Dark Knight Rises,7/20/2012,"$275,000,000","$448,139,099","$1,084,439,099","Action, Thriller",Christopher Nolan,Nominated for 1 BAFTA Film Award. Another 38 wins & 99 nominations.,8.5
John Carter,3/9/2012,"$275,000,000","$73,058,679","$282,778,100","Action, Adventure, Sci-Fi",Andrew Stanton,2 wins & 7 nominations.,6.6
The Hobbit: An Unexpected Journey,12/14/2012,"$250,000,000","$303,003,568","$1,017,003,568","Adventure, Fantasy",Peter Jackson,Nominated for 3 Oscars. Another 9 wins & 66 nominations.,7.9
The Avengers,5/4/2012,"$225,000,000","$623,279,547","$1,519,479,547","Action, Adventure, Sci-Fi",Joss Whedon,Nominated for 1 Oscar. Another 36 wins & 77 nominations.,8.1
The Amazing Spider-Man,7/3/2012,"$220,000,000","$262,030,663","$757,890,267","Action, Adventure, Fantasy",Marc Webb,2 wins & 32 nominations.,7.0
Men in Black 3,5/25/2012,"$215,000,000","$179,020,854","$654,213,485","Action, Comedy, Sci-Fi",Barry Sonnenfeld,1 win & 13 nominations.,6.8
Battleship,5/18/2012,"$209,000,000","$65,233,400","$305,218,228","Action, Adventure, Sci-Fi",Peter Berg,4 wins & 14 nominations.,5.9
Skyfall,11/8/2012,"$200,000,000","$304,360,277","$1,110,526,981","Action, Adventure, Thriller",Sam Mendes,Won 2 Oscars. Another 63 wins & 113 nominations.,7.8
Brave,6/22/2012,"$185,000,000","$237,282,182","$554,606,532","Animation, Adventure, Comedy","Mark Andrews, Brenda Chapman, Steve Purcell",Won 1 Oscar. Another 18 wins & 46 nominations.,7.2
Snow White and the Huntsman,6/1/2012,"$170,000,000","$155,136,755","$401,016,924","Action, Adventure, Drama",Rupert Sanders,Nominated for 2 Oscars. Another 13 wins & 31 nominations.,6.1
Wreck-It Ralph,11/2/2012,"$165,000,000","$189,412,677","$496,511,521","Animation, Adventure, Comedy",Rich Moore,Nominated for 1 Oscar. Another 32 wins & 40 nominations.,7.8
Wrath of the Titans,3/30/2012,"$150,000,000","$83,670,083","$305,270,083","Action, Adventure, Fantasy",Jonathan Liebesman,2 wins & 2 nominations.,5.8
Dark Shadows,5/11/2012,"$150,000,000","$79,727,149","$238,202,668","Comedy, Fantasy, Horror",Tim Burton,2 wins & 12 nominations.,6.2
Madagascar 3: Europe's Most Wanted,6/8/2012,"$145,000,000","$216,391,482","$746,921,271","Animation, Adventure, Comedy","Eric Darnell, Tom McGrath, Conrad Vernon",1 win & 21 nominations.,6.9
Rise of the Guardians,11/21/2012,"$145,000,000","$103,412,758","$306,900,902","Animation, Adventure, Family",Peter Ramsey,Nominated for 1 Golden Globe. Another 14 wins & 30 nominations.,7.3
"The Twilight Saga: Breaking Dawn, Part 2",11/16/2012,"$136,200,000","$292,324,737","$829,724,737","Adventure, Drama, Fantasy",Bill Condon,20 wins & 11 nominations.,5.5
The Croods,10/1/2012,"$135,000,000","$187,168,425","$573,068,425","Animation, Adventure, Comedy","Kirk De Micco, Chris Sanders",Nominated for 1 Oscar. Another 5 wins & 41 nominations.,7.3
Prometheus,6/8/2012,"$125,000,000","$126,477,084","$399,005,706","Adventure, Mystery, Sci-Fi",Ridley Scott,Nominated for 1 Oscar. Another 6 wins & 42 nominations.,7.0
The Bourne Legacy,8/10/2012,"$125,000,000","$113,203,870","$280,355,920","Action, Adventure, Thriller",Tony Gilroy,1 win & 11 nominations.,6.7
Total Recall,8/3/2012,"$125,000,000","$58,877,969","$211,856,088","Action, Sci-Fi",Paul Verhoeven,Nominated for 2 Oscars. Another 7 wins & 13 nominations.,7.5
Life of Pi,11/21/2012,"$120,000,000","$124,987,022","$607,987,022","Adventure, Drama, Fantasy",Ang Lee,Won 4 Oscars. Another 74 wins & 119 nominations.,8.0
Cloud Atlas,10/26/2012,"$102,000,000","$27,108,272","$130,673,154","Drama, Sci-Fi","Tom Tykwer, Lana Wachowski, Lilly Wachowski",Nominated for 1 Golden Globe. Another 16 wins & 70 nominations.,7.5
Django Unchained,12/25/2012,"$100,000,000","$162,805,434","$449,948,323","Drama, Western",Quentin Tarantino,Won 2 Oscars. Another 52 wins & 137 nominations.,8.5
The Expendables 2,8/17/2012,"$100,000,000","$85,028,192","$311,979,256","Action, Adventure, Thriller",Simon West,3 wins & 5 nominations.,6.7
Ice Age: Continental Drift,7/13/2012,"$95,000,000","$161,321,843","$879,765,137","Animation, Adventure, Comedy","Steve Martino, Mike Thurmeier",2 wins & 10 nominations.,6.7
The Campaign,8/10/2012,"$95,000,000","$86,907,746","$104,907,746",Comedy,Jay Roach,2 wins & 6 nominations.,6.2
Hotel Transylvania,9/28/2012,"$85,000,000","$148,313,048","$378,505,812","Animation, Comedy, Family",Genndy Tartakovsky,Nominated for 1 Golden Globe. Another 3 wins & 14 nominations.,7.1
Safe House,2/10/2012,"$85,000,000","$126,181,630","$208,542,162","Action, Crime, Mystery",Daniel Espinosa,1 win & 7 nominations.,6.8
Mirror Mirror,3/30/2012,"$85,000,000","$64,935,167","$173,613,482","Adventure, Comedy, Drama",Tarsem Singh,Nominated for 1 Oscar. Another 2 wins & 7 nominations.,5.6
The Hunger Games,3/23/2012,"$80,000,000","$408,010,692","$677,923,379","Adventure, Drama, Sci-Fi",Gary Ross,Nominated for 1 Golden Globe. Another 34 wins & 41 nominations.,7.3
Journey 2: The Mysterious Island,2/10/2012,"$79,000,000","$103,860,290","$318,146,162","Action, Adventure, Comedy",Brad Peyton,3 wins & 4 nominations.,5.8
Asterix and Obelix: God Save Britannia,12/31/2012,"$77,600,000",$0,"$60,680,125","Adventure, Comedy, Family",Laurent Tirard,N/A,5.3
Underworld: Awakening,1/20/2012,"$70,000,000","$62,321,039","$160,379,930","Action, Fantasy, Horror","Måns Mårlind, Björn Stein",1 win.,6.4
Rock of Ages,6/15/2012,"$70,000,000","$38,518,613","$61,031,932","Comedy, Drama, Musical",Adam Shankman,1 win & 9 nominations.,5.9
The Lorax,3/2/2012,"$67,500,000","$214,030,500","$350,976,753","Animation, Comedy, Family","Chris Renaud, Kyle Balda",3 wins & 8 nominations.,6.5
Abraham Lincoln: Vampire Hunter,6/22/2012,"$67,500,000","$37,519,139","$137,489,730","Action, Fantasy, Horror",Timur Bekmambetov,1 nomination.,5.9
Lincoln,11/9/2012,"$65,000,000","$182,207,973","$273,346,281","Biography, Drama, History",Steven Spielberg,Won 2 Oscars. Another 108 wins & 235 nominations.,7.4
Les Miserables,12/25/2012,"$65,000,000","$148,809,770","$442,169,052","Drama, History",Glenn Jordan,Nominated for 1 Primetime Emmy. Another 1 nomination.,7.4
