Title,Release Date,Budget,Domestic Gross,Worldwide Gross,Genre,Director,Awards,imdbRating
The Hobbit: The Battle of the Five Armies,12/17/2014,"$250,000,000","$255,119,788","$955,119,788","Adventure, Fantasy",Peter Jackson,Nominated for 1 Oscar. Another 5 wins & 45 nominations.,7.5
Transformers: Age of Extinction,6/27/2014,"$210,000,000","$245,439,076","$1,104,039,076","Action, Adventure, Sci-Fi",Michael Bay,5 wins & 21 nominations.,5.7
X-Men: Days of Future Past,5/23/2014,"$200,000,000","$233,921,534","$747,862,775","Action, Adventure, Sci-Fi",Bryan Singer,Nominated for 1 Oscar. Another 13 wins & 41 nominations.,8.0
The Amazing Spider-Man 2,5/2/2014,"$200,000,000","$202,853,933","$708,996,336","Action, Adventure, Fantasy",Marc Webb,3 wins & 28 nominations.,6.8
Maleficent,5/30/2014,"$180,000,000","$241,407,328","$758,536,735","Action, Adventure, Family",Robert Stromberg,Nominated for 1 Oscar. Another 9 wins & 37 nominations.,7.0
Edge of Tomorrow,6/6/2014,"$178,000,000","$100,206,256","$364,406,256","Action, Adventure, Sci-Fi",Doug Liman,11 wins & 34 nominations.,7.9
Guardians of the Galaxy,8/1/2014,"$170,000,000","$333,172,112","$771,172,112","Action, Adventure, Sci-Fi",James Gunn,Nominated for 2 Oscars. Another 47 wins & 88 nominations.,8.1
Captain America: The Winter Soldier,4/4/2014,"$170,000,000","$259,746,958","$714,401,889","Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo",Nominated for 1 Oscar. Another 5 wins & 49 nominations.,7.8
Dawn of the Planet of the Apes,7/11/2014,"$170,000,000","$208,545,589","$703,545,589","Action, Adventure, Drama",Matt Reeves,Nominated for 1 Oscar. Another 14 wins & 44 nominations.,7.6
Big Hero 6,11/7/2014,"$165,000,000","$222,527,828","$652,127,828","Animation, Action, Adventure","Don Hall, Chris Williams",Won 1 Oscar. Another 13 wins & 52 nominations.,7.9
Interstellar,11/5/2014,"$165,000,000","$188,017,894","$665,417,894","Adventure, Drama, Sci-Fi",Christopher Nolan,Won 1 Oscar. Another 37 wins & 124 nominations.,8.6
Godzilla,5/16/2014,"$160,000,000","$200,672,193","$529,072,193","Action, Adventure, Sci-Fi",Gareth Edwards,5 wins & 27 nominations.,6.5
How to Train Your Dragon 2,6/13/2014,"$145,000,000","$177,002,924","$616,102,924","Animation, Action, Adventure",Dean DeBlois,Nominated for 1 Oscar. Another 13 wins & 58 nominations.,7.9
Mr. Peabody & Sherman,3/7/2014,"$145,000,000","$111,506,430","$269,806,430","Animation, Adventure, Comedy",Rob Minkoff,2 wins & 16 nominations.,6.9
Exodus: Gods and Kings,12/12/2014,"$140,000,000","$65,014,513","$268,314,513","Action, Adventure, Drama",Ridley Scott,4 nominations.,6.1
Penguins of Madagascar,11/26/2014,"$132,000,000","$83,350,911","$367,650,911","Animation, Adventure, Comedy","Eric Darnell, Simon J. Smith",6 nominations.,6.7
Rio 2,4/11/2014,"$130,000,000","$131,538,435","$493,738,435","Animation, Adventure, Comedy",Carlos Saldanha,1 win & 19 nominations.,6.4
Noah,3/28/2014,"$130,000,000","$101,200,044","$352,831,065","Action, Adventure, Drama",Darren Aronofsky,Nominated for 1 Golden Globe. Another 16 nominations.,5.8
Night at the Museum: Secret of the Tomb,12/19/2014,"$127,000,000","$113,746,621","$356,546,621","Adventure, Comedy, Family",Shawn Levy,1 win & 3 nominations.,6.2
The Hunger Games: Mockingjay - Part 1,11/21/2014,"$125,000,000","$337,135,885","$766,652,288","Adventure, Sci-Fi, Thriller",Francis Lawrence,Nominated for 1 Golden Globe. Another 15 wins & 25 nominations.,6.7
Teenage Mutant Ninja Turtles,8/8/2014,"$125,000,000","$191,204,754","$485,004,754","Action, Adventure, Comedy",Jonathan Liebesman,1 win & 10 nominations.,5.9
RoboCop,2/12/2014,"$120,000,000","$58,607,007","$242,981,799","Action, Sci-Fi, Thriller",José Padilha,3 wins & 1 nomination.,6.2
300: Rise of an Empire,3/7/2014,"$110,000,000","$106,580,051","$330,780,051","Action, Drama, Fantasy",Noam Murro,1 win & 5 nominations.,6.3
Hercules,7/25/2014,"$100,000,000","$72,688,614","$243,388,614","Animation, Adventure, Comedy","Ron Clements, John Musker",Nominated for 1 Oscar. Another 9 wins & 15 nominations.,7.2
The Expendables 3,8/15/2014,"$100,000,000","$39,322,544","$209,461,378","Action, Adventure, Thriller",Patrick Hughes,1 win & 4 nominations.,6.1
Transcendence,4/18/2014,"$100,000,000","$23,022,309","$103,039,258","Drama, Mystery, Romance",Wally Pfister,2 wins & 5 nominations.,6.3
Divergent,3/21/2014,"$85,000,000","$150,947,895","$276,014,965","Adventure, Mystery, Sci-Fi",Neil Burger,7 wins & 11 nominations.,6.7
Fury,10/17/2014,"$80,000,000","$85,755,593","$211,755,593","Action, Drama, War",David Ayer,5 wins & 17 nominations.,7.6
Pompeii,2/21/2014,"$80,000,000","$23,169,033","$108,469,033","Action, Adventure, Drama",Paul W.S. Anderson,8 wins & 4 nominations.,5.6
The Monuments Men,2/7/2014,"$70,000,000","$78,031,620","$158,702,748","Drama, War",George Clooney,3 wins & 2 nominations.,6.1
Dracula Untold,10/10/2014,"$70,000,000","$55,991,880","$216,821,942","Action, Drama, Fantasy",Gary Shore,2 wins & 3 nominations.,6.3
The Legend of Hercules,1/10/2014,"$70,000,000","$18,848,538","$61,402,445","Action, Adventure, Fantasy",Renny Harlin,1 win & 7 nominations.,4.2
Legend's of Oz: Dorothys Return,5/9/2014,"$70,000,000","$8,462,347","$20,107,933",None,None,None,None
Need for Speed,3/14/2014,"$66,000,000","$43,568,507","$194,169,619","Action, Crime, Drama",Scott Waugh,1 win & 1 nomination.,6.5
Unbroken,12/25/2014,"$65,000,000","$115,637,895","$163,442,936","Biography, Drama, Sport",Angelina Jolie,Nominated for 3 Oscars. Another 13 wins & 24 nominations.,7.2
Annie,12/19/2014,"$65,000,000","$85,911,262","$139,840,525","Comedy, Drama, Family",John Huston,Nominated for 2 Oscars. Another 2 wins & 11 nominations.,6.5
"I, Frankenstein",1/24/2014,"$65,000,000","$19,075,290","$74,575,290","Action, Fantasy, Sci-Fi",Stuart Beattie,1 nomination.,5.1
