Title,Release Date,Budget,Domestic Gross,Worldwide Gross,Genre,Director,Awards,imdbRating
The Lone Ranger,7/2/2013,"$275,000,000","$89,289,910","$259,989,910","Action, Adventure, Western",Gore Verbinski,Nominated for 2 Oscars. Another 4 wins & 17 nominations.,6.5
The Hobbit: The Desolation of Smaug,12/13/2013,"$250,000,000","$258,366,855","$960,366,855","Adventure, Fantasy",Peter Jackson,Nominated for 3 Oscars. Another 14 wins & 78 nominations.,7.9
Man of Steel,6/14/2013,"$225,000,000","$291,045,518","$667,999,518","Action, Adventure, Fantasy",Zack Snyder,7 wins & 42 nominations.,7.2
Iron Man 3,5/3/2013,"$200,000,000","$408,992,272","$1,215,392,272","Action, Adventure, Sci-Fi",Shane Black,Nominated for 1 Oscar. Another 17 wins & 52 nominations.,7.3
Monsters University,6/21/2013,"$200,000,000","$268,488,329","$743,588,329","Animation, Adventure, Comedy",Dan Scanlon,Nominated for 1 BAFTA Film Award. Another 9 wins & 53 nominations.,7.4
Oz the Great and Powerful,3/8/2013,"$200,000,000","$234,770,996","$490,359,051","Adventure, Family, Fantasy",Sam Raimi,5 wins & 31 nominations.,6.4
Jack the Giant Slayer,3/1/2013,"$195,000,000","$65,187,603","$197,687,603","Adventure, Fantasy",Bryan Singer,1 win & 4 nominations.,6.3
Star Trek Into Darkness,5/15/2013,"$190,000,000","$228,778,661","$467,381,584","Action, Adventure, Sci-Fi",J.J. Abrams,Nominated for 1 Oscar. Another 6 wins & 44 nominations.,7.8
World War Z,6/21/2013,"$190,000,000","$202,359,711","$531,514,650","Action, Adventure, Horror",Marc Forster,3 wins & 22 nominations.,7.0
The Great Gatsby,5/10/2013,"$190,000,000","$144,840,419","$351,040,419","Drama, Romance",Baz Luhrmann,Won 2 Oscars. Another 39 wins & 71 nominations.,7.3
Pacific Rim,7/12/2013,"$190,000,000","$101,802,906","$411,002,906","Action, Adventure, Sci-Fi",Guillermo del Toro,Nominated for 1 BAFTA Film Award. Another 4 wins & 41 nominations.,7.0
47 Ronin,12/25/2013,"$175,000,000","$38,362,475","$151,659,062","Action, Adventure, Drama",Carl Rinsch,5 nominations.,6.3
Fast and Furious 6,5/24/2013,"$160,000,000","$238,679,850","$789,952,811",Action,Scott Blackwood,N/A,N/A
Frozen,11/22/2013,"$150,000,000","$400,738,009","$1,274,234,980","Animation, Adventure, Comedy","Chris Buck, Jennifer Lee",Won 2 Oscars. Another 70 wins & 56 nominations.,7.6
Thor: The Dark World,11/8/2013,"$150,000,000","$206,360,018","$644,600,394","Action, Adventure, Fantasy",Alan Taylor,2 wins & 18 nominations.,7.1
White House Down,6/28/2013,"$150,000,000","$73,103,784","$205,440,387","Action, Drama, Thriller",Roland Emmerich,3 wins & 9 nominations.,6.4
G.I. Joe: Retaliation,3/27/2013,"$140,000,000","$122,523,060","$375,740,705","Action, Adventure, Sci-Fi",Jon M. Chu,1 win & 11 nominations.,5.8
Turbo,7/17/2013,"$135,000,000","$83,028,130","$286,896,578","Animation, Adventure, Comedy",David Soren,1 win & 11 nominations.,6.5
The Hunger Games: Catching Fire,11/22/2013,"$130,000,000","$424,668,047","$864,868,047","Adventure, Sci-Fi, Thriller",Francis Lawrence,Nominated for 1 Golden Globe. Another 21 wins & 57 nominations.,7.6
After Earth,5/31/2013,"$130,000,000","$60,522,097","$251,499,665","Action, Adventure, Sci-Fi",M. Night Shyamalan,3 wins & 7 nominations.,4.9
R.I.P.D.,7/19/2013,"$130,000,000","$33,618,855","$79,072,464","Action, Comedy, Fantasy",Robert Schwentke,N/A,5.6
Elysium,8/9/2013,"$120,000,000","$93,050,117","$286,192,091","Action, Drama, Sci-Fi",Neill Blomkamp,1 win & 9 nominations.,6.6
Oblivion,4/19/2013,"$120,000,000","$89,107,235","$287,916,633","Action, Adventure, Mystery",Joseph Kosinski,11 nominations.,7.0
The Wolverine,7/26/2013,"$115,000,000","$132,556,852","$416,456,852","Action, Adventure, Sci-Fi",James Mangold,2 wins & 10 nominations.,6.7
Gravity,10/4/2013,"$110,000,000","$274,092,705","$716,392,705","Sci-Fi, Thriller",Alfonso Cuarón,Won 7 Oscars. Another 208 wins & 166 nominations.,7.8
The Smurfs 2,7/31/2013,"$110,000,000","$71,017,784","$348,547,523","Animation, Adventure, Comedy",Raja Gosnell,8 nominations.,5.4
Ender's Game,11/1/2013,"$110,000,000","$61,737,191","$89,737,191","Action, Sci-Fi",Gavin Hood,1 win & 6 nominations.,6.7
The Hangover Part III,5/23/2013,"$103,000,000","$112,200,072","$362,000,072","Comedy, Crime",Todd Phillips,2 wins & 6 nominations.,5.9
The Wolf of Wall Street,12/25/2013,"$100,000,000","$116,900,694","$391,976,723","Biography, Comedy, Crime",Martin Scorsese,Nominated for 5 Oscars. Another 35 wins & 151 nominations.,8.2
Epic,5/24/2013,"$100,000,000","$107,518,682","$262,794,441","Animation, Adventure, Family",Chris Wedge,2 wins & 21 nominations.,6.7
A Good Day to Die Hard,2/14/2013,"$92,000,000","$67,349,198","$304,249,198","Action, Crime, Thriller",John Moore,3 wins & 7 nominations.,5.3
The Secret Life of Walter Mitty,12/25/2013,"$91,000,000","$58,236,838","$188,536,838","Adventure, Comedy, Drama",Ben Stiller,5 wins & 16 nominations.,7.3
Percy Jackson: Sea of Monsters,8/7/2013,"$90,000,000","$68,559,554","$200,859,554","Adventure, Family, Fantasy",Thor Freudenthal,1 win & 4 nominations.,5.9
RED 2,7/19/2013,"$84,000,000","$53,262,560","$137,162,560","Action, Comedy, Crime",Dean Parisot,3 nominations.,6.7
Grown Ups 2,7/12/2013,"$80,000,000","$133,668,525","$247,023,808",Comedy,Dennis Dugan,4 wins & 15 nominations.,5.4
Walking with Dinosaurs,12/20/2013,"$80,000,000","$36,076,121","$130,580,730","Documentary, Animation, History",N/A,Won 3 Primetime Emmys. Another 11 wins & 8 nominations.,8.6
