Title,Release Date,Budget,Domestic Gross,Worldwide Gross,Genre,Director,Awards,imdbRating
"Crazy, Stupid, Love",7/29/2011,"$50,000,000","$84,351,197","$147,142,328","Comedy, Drama, Romance","Glenn Ficarra, John Requa",Nominated for 1 Golden Globe. Another 3 wins & 20 nominations.,7.4
We Bought a Zoo,11/26/2011,"$50,000,000","$75,624,550","$118,729,073","Comedy, Drama, Family",Cameron Crowe,1 win & 8 nominations.,7.1
Moneyball,9/23/2011,"$50,000,000","$75,605,492","$111,300,835","Biography, Drama, Sport",Bennett Miller,Nominated for 6 Oscars. Another 29 wins & 73 nominations.,7.6
I am Number Four,2/18/2011,"$50,000,000","$55,100,437","$146,195,159","Action, Adventure, Sci-Fi",D.J. Caruso,1 win & 1 nomination.,6.1
Your Highness,4/8/2011,"$50,000,000","$21,596,445","$26,121,638","Adventure, Comedy, Fantasy",David Gordon Green,1 win & 3 nominations.,5.6
Dream House,9/30/2011,"$50,000,000","$21,302,340","$39,932,340","Drama, Mystery, Thriller",Jim Sheridan,1 nomination.,5.9
Drive Angry,2/25/2011,"$50,000,000","$10,721,033","$41,042,583","Action, Fantasy, Thriller",Patrick Lussier,1 win & 6 nominations.,5.5
The Muppets,11/23/2011,"$45,000,000","$88,625,922","$160,971,922","Adventure, Comedy, Family",James Bobin,Won 1 Oscar. Another 15 wins & 41 nominations.,7.2
Johnny English Reborn,10/21/2011,"$45,000,000","$8,305,970","$164,539,660","Action, Adventure, Comedy",Oliver Parker,2 nominations.,6.3
The Mechanic,1/28/2011,"$42,500,000","$29,121,498","$76,347,393","Action, Crime, Thriller",Simon West,1 nomination.,6.6
Red Riding Hood,3/11/2011,"$42,000,000","$37,662,162","$91,678,442","Fantasy, Horror, Mystery",Catherine Hardwicke,5 nominations.,5.4
The Big Year,10/14/2011,"$41,000,000","$7,204,138","$7,684,524",Comedy,David Frankel,N/A,6.2
Unknown,2/18/2011,"$40,000,000","$63,686,397","$136,123,083","Action, Mystery, Thriller",Jaume Collet-Serra,3 nominations.,6.9
The Lincoln Lawyer,3/18/2011,"$40,000,000","$58,009,200","$87,145,086","Crime, Drama, Thriller",Brad Furman,1 nomination.,7.3
Final Destination 5,8/12/2011,"$40,000,000","$42,587,643","$155,011,165",Horror,Steven Quale,2 wins & 4 nominations.,5.9
Scream 4,4/15/2011,"$40,000,000","$38,180,928","$95,989,590","Horror, Mystery",Wes Craven,1 win & 6 nominations.,6.2
Paul,3/18/2011,"$40,000,000","$37,412,945","$101,162,106","Adventure, Comedy, Sci-Fi",Greg Mottola,1 win & 8 nominations.,7.0
Colombiana,8/26/2011,"$40,000,000","$36,665,854","$72,295,262","Action, Crime, Drama",Olivier Megaton,2 wins & 5 nominations.,6.4
Arthur,4/8/2011,"$40,000,000","$33,035,397","$47,787,943","Comedy, Romance",Jason Winer,3 wins & 5 nominations.,5.8
Extremely Loud & Incredibly Close,12/25/2011,"$40,000,000","$31,847,881","$55,247,881","Adventure, Drama, Mystery",Stephen Daldry,Nominated for 2 Oscars. Another 8 wins & 24 nominations.,6.9
Season of the Witch,1/7/2011,"$40,000,000","$24,827,228","$91,126,600","Action, Adventure, Fantasy",Dominic Sena,2 nominations.,5.4
Water for Elephants,4/22/2011,"$38,000,000","$58,709,717","$116,809,717","Drama, Romance",Francis Lawrence,3 wins & 11 nominations.,6.9
The Thing,10/14/2011,"$38,000,000","$16,928,670","$27,501,814","Horror, Sci-Fi",John Carpenter,3 nominations.,8.2
Dolphin Tale,9/23/2011,"$37,000,000","$72,286,779","$96,068,724","Drama, Family",Charles Martin Smith,2 wins & 4 nominations.,6.9
The Rite,1/28/2011,"$37,000,000","$33,047,633","$97,143,987","Drama, Horror, Mystery",Mikael Håfström,1 win & 4 nominations.,6.0
Gnomeo & Juliet,2/11/2011,"$36,000,000","$99,967,670","$193,737,977","Animation, Comedy, Family",Kelly Asbury,Nominated for 1 Golden Globe. Another 1 win & 10 nominations.,6.0
There Be Dragons,5/6/2011,"$36,000,000","$1,069,334","$4,020,990","Biography, Drama, War",Roland Joffé,1 nomination.,5.9
Horrible Bosses,7/8/2011,"$35,000,000","$117,538,559","$212,417,601","Comedy, Crime",Seth Gordon,3 wins & 10 nominations.,6.9
Friends with Benefits,7/22/2011,"$35,000,000","$55,802,754","$146,595,891","Comedy, Romance",Will Gluck,5 nominations.,6.6
Something Borrowed,5/6/2011,"$35,000,000","$39,046,489","$65,084,116","Comedy, Drama, Romance",Luke Greenfield,4 nominations.,5.9
In Time,10/28/2011,"$35,000,000","$37,553,932","$165,103,952","Action, Sci-Fi, Thriller",Andrew Niccol,2 nominations.,6.7
J. Edgar,11/9/2011,"$35,000,000","$37,306,030","$84,606,030","Biography, Crime, Drama",Clint Eastwood,Nominated for 1 Golden Globe. Another 5 wins & 16 nominations.,6.6
Abduction,9/23/2011,"$35,000,000","$28,087,155","$86,648,359","Action, Mystery, Thriller",John Singleton,2 wins & 3 nominations.,5.0
The Tree of Life,5/27/2011,"$35,000,000","$13,305,665","$61,721,826","Drama, Fantasy",Terrence Malick,Nominated for 3 Oscars. Another 101 wins & 108 nominations.,6.7
The Darkest Hour,12/25/2011,"$34,800,000","$21,443,494","$62,831,715","Action, Drama, Horror",Chris Gorak,1 nomination.,4.9
Bridesmaids,5/13/2011,"$32,500,000","$169,106,725","$289,527,030","Comedy, Romance",Paul Feig,Nominated for 2 Oscars. Another 24 wins & 65 nominations.,6.8
Source Code,4/1/2011,"$32,000,000","$54,712,227","$140,428,499","Mystery, Sci-Fi, Thriller",Duncan Jones,1 win & 8 nominations.,7.5
"Big Mommas: Like Father, Like Son",2/18/2011,"$32,000,000","$37,915,414","$82,332,450","Action, Comedy, Crime",John Whitesell,3 nominations.,4.4
Midnight in Paris,5/20/2011,"$30,000,000","$56,816,662","$162,942,835","Comedy, Fantasy, Romance",Woody Allen,Won 1 Oscar. Another 22 wins & 95 nominations.,7.7
Hanna,4/8/2011,"$30,000,000","$40,259,119","$65,343,694","Action, Drama, Thriller",Joe Wright,5 wins & 26 nominations.,6.8
Larry Crowne,7/1/2011,"$30,000,000","$35,608,245","$61,449,135","Comedy, Drama, Romance",Tom Hanks,3 nominations.,6.0
Winnie the Pooh,7/15/2011,"$30,000,000","$26,692,846","$50,145,607","Animation, Adventure, Comedy","Stephen J. Anderson, Don Hall",2 wins & 24 nominations.,7.3
Sanctum,2/4/2011,"$30,000,000","$23,209,310","$104,283,753","Adventure, Drama, Thriller",Alister Grierson,1 win & 1 nomination.,5.9
Fright Night,8/19/2011,"$30,000,000","$18,298,649","$40,520,649","Comedy, Horror",Craig Gillespie,2 wins & 7 nominations.,6.4
Hoodwinked Too! Hood vs. Evil,4/29/2011,"$30,000,000","$10,143,779","$23,353,111","Animation, Comedy, Family",Mike Disa,1 win & 1 nomination.,4.8
Machine Gun Preacher,9/23/2011,"$30,000,000","$538,690","$3,721,988","Action, Biography, Crime",Marc Forster,N/A,6.8
Xinhai geming,10/7/2011,"$30,000,000","$135,739","$8,593,154",None,None,None,None
30 Minutes or Less,8/12/2011,"$28,000,000","$37,053,924","$40,966,716","Action, Comedy, Crime",Ruben Fleischer,N/A,6.1
Anonymous,10/28/2011,"$27,500,000","$4,463,292","$15,815,509","Drama, History, Thriller",Roland Emmerich,Nominated for 1 Oscar. Another 7 wins & 8 nominations.,6.9
Limitless,3/18/2011,"$27,000,000","$79,249,455","$155,564,919","Mystery, Sci-Fi, Thriller",Neil Burger,2 wins & 7 nominations.,7.4
Spy Kids: All the Time in the World,8/19/2011,"$27,000,000","$38,536,376","$80,681,183","Action, Adventure, Comedy",Robert Rodriguez,4 nominations.,3.6
New Years Eve,12/9/2011,"$26,000,000","$54,544,638","$146,850,273",None,None,None,None
The Help,8/10/2011,"$25,000,000","$169,705,587","$213,120,004",Drama,Tate Taylor,Won 1 Oscar. Another 79 wins & 108 nominations.,8.1
No Strings Attached,1/21/2011,"$25,000,000","$70,662,220","$149,228,078","Comedy, Romance",Ivan Reitman,2 wins & 6 nominations.,6.2
The Sitter,12/9/2011,"$25,000,000","$30,542,576","$38,749,404",Comedy,David Gordon Green,2 nominations.,5.7
Don't Be Afraid of the Dark,8/26/2011,"$25,000,000","$24,046,682","$39,126,427","Fantasy, Horror, Thriller",Troy Nixey,3 nominations.,5.6
The Eagle,2/11/2011,"$25,000,000","$19,490,041","$36,054,706","Action, Adventure, Drama",Kevin Macdonald,1 nomination.,6.2
Shark Night 3D,9/2/2011,"$25,000,000","$18,877,153","$32,209,741","Horror, Thriller",David R. Ellis,1 nomination.,4.0
Warrior,9/9/2011,"$25,000,000","$13,657,115","$24,215,385","Drama, Sport",Gavin O'Connor,Nominated for 1 Oscar. Another 6 wins & 19 nominations.,8.2
The Conspirator,4/15/2011,"$25,000,000","$11,538,204","$15,907,411","Crime, Drama, History",Robert Redford,2 wins & 3 nominations.,7.0
Straw Dogs,9/16/2011,"$25,000,000","$10,324,441","$11,253,821","Crime, Drama, Thriller",Sam Peckinpah,Nominated for 1 Oscar. Another 1 win.,7.5
Carnage,12/16/2011,"$25,000,000","$2,546,747","$38,112,154","Comedy, Drama",Roman Polanski,Nominated for 2 Golden Globes. Another 7 wins & 19 nominations.,7.2
The True History of Puss 'N Boots,10/4/2011,"$25,000,000",$0,"$8,208,594",None,None,None,None
Ironclad,7/8/2011,"$25,000,000",$0,"$5,297,411","Action, Adventure, History",Jonathan English,N/A,6.2
Footloose,10/14/2011,"$24,000,000","$51,802,742","$62,989,834","Drama, Music, Romance",Herbert Ross,Nominated for 2 Oscars. Another 1 win & 4 nominations.,6.5
I Don't Know How She Does It,9/16/2011,"$24,000,000","$9,659,074","$24,474,463",Comedy,Douglas McGrath,2 wins & 2 nominations.,4.8
The Ides of March,10/7/2011,"$23,000,000","$40,962,534","$77,735,925",Drama,George Clooney,Nominated for 1 Oscar. Another 9 wins & 34 nominations.,7.1
Tinker Tailor Soldier Spy,12/9/2011,"$21,000,000","$24,149,393","$81,452,811","Drama, Mystery, Thriller",Tomas Alfredson,Nominated for 3 Oscars. Another 34 wins & 87 nominations.,7.1
The Beaver,5/6/2011,"$21,000,000","$970,816","$5,046,038",Drama,Jodie Foster,1 win & 4 nominations.,6.7
The Descendants,11/16/2011,"$20,000,000","$82,624,961","$175,507,800","Comedy, Drama",Alexander Payne,Won 1 Oscar. Another 65 wins & 139 nominations.,7.3
A Very Harold & Kumar 3D Christmas,11/4/2011,"$20,000,000","$35,061,031","$36,265,745","Adventure, Comedy",Todd Strauss-Schulson,1 nomination.,6.3
The Debt,8/31/2011,"$20,000,000","$31,177,548","$46,604,054","Drama, Thriller",John Madden,13 wins & 5 nominations.,6.9
Monte Carlo,7/1/2011,"$20,000,000","$23,186,769","$39,686,769","Adventure, Comedy, Family",Thomas Bezucha,4 nominations.,5.8
What's Your Number?,9/30/2011,"$20,000,000","$14,011,084","$30,163,785","Comedy, Romance",Mark Mylod,N/A,6.0
A Dangerous Method,11/23/2011,"$20,000,000","$5,702,083","$14,807,531","Biography, Drama, Thriller",David Cronenberg,Nominated for 1 Golden Globe. Another 18 wins & 26 nominations.,6.5
Dylan Dog: Dead of Night,4/29/2011,"$20,000,000","$1,186,538","$6,093,725","Action, Comedy, Crime",Kevin Munroe,1 nomination.,5.1
The Devil's Double,7/29/2011,"$19,100,000","$1,361,512","$2,406,666","Biography, Drama, Thriller",Lee Tamahori,2 nominations.,7.1
Bad Teacher,6/24/2011,"$19,000,000","$100,292,856","$215,448,997",Comedy,Jake Kasdan,6 wins & 3 nominations.,5.7
Take Me Home Tonight,3/4/2011,"$19,000,000","$6,928,068","$7,576,604","Comedy, Drama, Romance",Michael Dowse,1 nomination.,6.3
Diary of a Wimpy Kid: Rodrick Rules,3/25/2011,"$18,000,000","$52,698,535","$73,695,194","Comedy, Family",David Bowers,1 win & 5 nominations.,6.6
Soul Surfer,4/8/2011,"$18,000,000","$43,853,424","$47,158,652","Biography, Drama, Family",Sean McNamara,1 win & 12 nominations.,7.1
Beastly,3/4/2011,"$17,000,000","$27,865,571","$38,028,230","Drama, Fantasy, Romance",Daniel Barnz,1 win & 1 nomination.,5.6
The Artist,11/25/2011,"$16,000,000","$44,667,095","$128,256,712","Comedy, Drama, Romance",Michel Hazanavicius,Won 5 Oscars. Another 145 wins & 181 nominations.,8.0
The Roommate,2/4/2011,"$16,000,000","$37,300,107","$52,545,707","Drama, Horror, Thriller",Christian E. Christiansen,7 nominations.,4.8
Drive,9/16/2011,"$15,000,000","$35,060,689","$78,054,825","Crime, Drama",Nicolas Winding Refn,Nominated for 1 Oscar. Another 71 wins & 157 nominations.,7.8
One Day,8/19/2011,"$15,000,000","$13,843,771","$59,168,692","Drama, Romance",Lone Scherfig,2 nominations.,7.0
The Son of No One,11/4/2011,"$15,000,000","$30,680","$1,148,578","Crime, Drama, Thriller",Dito Montiel,1 nomination.,5.1
Sarah's Key,7/22/2011,"$14,500,000","$7,691,700","$25,480,031","Drama, War",Gilles Paquet-Brenner,4 wins & 4 nominations.,7.5
The Iron Lady,12/30/2011,"$14,000,000","$29,959,436","$115,592,104","Biography, Drama, History",Phyllida Lloyd,Won 2 Oscars. Another 22 wins & 46 nominations.,6.4
Margaret,9/30/2011,"$14,000,000","$47,185","$134,972",Drama,Kenneth Lonergan,8 wins & 17 nominations.,6.5
Reign of Assassins,12/31/2011,"$14,000,000",$0,"$11,354,230",Action,Chao-Bin Su,2 wins & 18 nominations.,6.9
The Last Godfather,4/1/2011,"$13,400,000","$164,247","$164,247",Comedy,Hyung-rae Shim,N/A,3.6
Justin Bieber: Never Say Never,2/9/2011,"$13,000,000","$73,013,910","$99,034,125","Documentary, Music",Jon M. Chu,2 wins & 6 nominations.,1.6
Attack the Block,7/29/2011,"$13,000,000","$1,024,175","$6,459,183","Action, Comedy, Sci-Fi",Joe Cornish,Nominated for 1 BAFTA Film Award. Another 17 wins & 35 nominations.,6.6
Young Adult,12/9/2011,"$12,000,000","$16,311,571","$22,750,356","Comedy, Drama",Jason Reitman,Nominated for 1 Golden Globe. Another 3 wins & 29 nominations.,6.3
5 Days of War,8/19/2011,"$12,000,000","$17,479","$87,793","Action, Drama, War",Renny Harlin,N/A,5.6
Legend of a Rabbit,12/31/2011,"$12,000,000",$0,"$1,828,400",Animation,Dake Dong,1 nomination.,6.7
Brighton Rock,8/26/2011,"$11,000,000","$224,631","$224,631","Crime, Drama, Thriller",Rowan Joffe,1 win & 8 nominations.,5.8
My Week with Marilyn,11/23/2011,"$10,000,000","$14,597,405","$34,240,572","Biography, Drama",Simon Curtis,Nominated for 2 Oscars. Another 19 wins & 59 nominations.,7.0
Cedar Rapids,2/11/2011,"$10,000,000","$6,861,102","$7,862,131",Comedy,Miguel Arteta,1 win & 4 nominations.,6.3
Bucky Larson: Born to Be a Star,9/9/2011,"$10,000,000","$2,529,395","$2,529,395",Comedy,Tom Brady,1 win & 6 nominations.,3.3
A Better Life,6/24/2011,"$10,000,000","$1,759,252","$1,884,251","Drama, Romance",Chris Weitz,Nominated for 1 Oscar. Another 6 wins & 8 nominations.,7.2
Coriolanus,12/2/2011,"$10,000,000","$749,641","$1,049,641","Drama, Thriller, War",Ralph Fiennes,Nominated for 1 BAFTA Film Award. Another 10 wins & 16 nominations.,6.2
You Got Served: Beat The World,6/21/2011,"$10,000,000",$0,"$1,230,542","Drama, Music",Robert Adetuyi,N/A,4.5
Melancholia,11/11/2011,"$9,400,000","$3,030,848","$21,817,298","Drama, Sci-Fi",Lars von Trier,32 wins & 85 nominations.,7.1
Red Dog,12/31/2011,"$9,100,000",$0,"$20,927,794","Biography, Comedy, Drama",Kriv Stenders,10 wins & 15 nominations.,7.5
Glee: The 3D Concert Movie,8/10/2011,"$9,000,000","$11,862,398","$17,462,398","Documentary, Music","Kevin Tancharoen, Jennifer Arnold",N/A,5.3
Ultramarines,2/26/2011,"$8,900,000",$0,$0,"Animation, Action, Fantasy",Martyn Pick,N/A,5.7
50/50,9/30/2011,"$8,000,000","$35,014,192","$41,332,809","Comedy, Drama, Romance",Jonathan Levine,Nominated for 2 Golden Globes. Another 12 wins & 25 nominations.,7.7
Prom,4/29/2011,"$8,000,000","$10,130,219","$10,763,183","Comedy, Drama",Joe Nussbaum,1 nomination.,5.4
Restless,9/16/2011,"$8,000,000","$163,141","$2,817,782","Drama, Romance",Gus Van Sant,1 nomination.,6.8
Albert Nobbs,12/21/2011,"$7,500,000","$3,014,696","$8,539,003",Drama,Rodrigo García,Nominated for 3 Oscars. Another 18 wins & 38 nominations.,6.6
The Wave,5/27/2011,"$7,250,000",$0,"$35,122,948","Drama, Thriller",Dennis Gansel,8 wins & 8 nominations.,7.6
3,9/16/2011,"$7,200,000","$59,774","$295,492",None,None,None,None
Jumping the Broom,5/6/2011,"$7,000,000","$37,295,394","$38,158,601","Comedy, Drama",Salim Akil,3 wins & 13 nominations.,5.7
The Mighty Macs,10/21/2011,"$7,000,000","$1,891,936","$1,891,936","Drama, Sport",Tim Chambers,N/A,6.5
We Need to Talk About Kevin,12/9/2011,"$7,000,000","$1,738,692","$10,765,283","Drama, Thriller",Lynne Ramsay,Nominated for 1 Golden Globe. Another 26 wins & 61 nominations.,7.5
Hesher,5/13/2011,"$7,000,000","$382,946","$382,946",Drama,Spencer Susser,1 win & 1 nomination.,7.1
Shame,12/2/2011,"$6,500,000","$4,002,293","$20,412,841",Drama,Steve McQueen,Nominated for 1 Golden Globe. Another 48 wins & 88 nominations.,7.3
Tracker,12/31/2011,"$6,500,000",$0,"$3,149","Action, Adventure, Drama",Ian Sharp,1 nomination.,6.5
The Guard,7/29/2011,"$6,000,000","$5,359,774","$21,197,454","Comedy, Crime, Thriller",John Michael McDonagh,Nominated for 1 Golden Globe. Another 14 wins & 25 nominations.,7.3
Snow Flower and the Secret Fan,7/15/2011,"$6,000,000","$1,348,205","$11,348,205","Drama, History",Wayne Wang,1 win & 1 nomination.,6.1
The 5th Quarter,3/25/2011,"$6,000,000","$408,159","$408,159","Biography, Drama, Sport",Rick Bieber,1 win & 1 nomination.,5.7
I Saw the Devil,3/4/2011,"$6,000,000","$129,210","$13,168,809","Crime, Drama, Horror",Jee-woon Kim,15 wins & 15 nominations.,7.8
The Hit List,5/10/2011,"$6,000,000",$0,$0,"Action, Thriller",William Kaufman,N/A,5.4
Freaky Deaky,12/31/2011,"$6,000,000",$0,$0,"Comedy, Crime, Thriller",Charles Matthau,N/A,6.5
A Shine of Rainbows,3/15/2011,"$6,000,000",$0,$0,"Drama, Family",Vic Sarin,4 wins & 8 nominations.,7.2
Winter in Wartime,3/18/2011,"$5,800,000","$542,860","$9,662,214","Drama, History, War",Martin Koolhoven,10 wins & 9 nominations.,7.1
Haevnen,4/1/2011,"$5,500,000","$1,008,098","$15,867,314","Short, Drama",N/A,N/A,N/A
Le Havre,10/21/2011,"$5,500,000","$611,709","$13,480,196","Comedy, Drama",Aki Kaurismäki,15 wins & 32 nominations.,7.2
Salvation Boulevard,7/15/2011,"$5,500,000","$28,468","$28,468","Action, Comedy, Drama",George Ratliff,N/A,5.3
Paranormal Activity 3,10/21/2011,"$5,000,000","$104,028,807","$202,053,386",Horror,"Henry Joost, Ariel Schulman",1 win & 5 nominations.,5.8
Our Idiot Brother,8/26/2011,"$5,000,000","$24,814,830","$25,861,249","Comedy, Drama",Jesse Peretz,N/A,6.4
Apollo 18,9/2/2011,"$5,000,000","$17,686,929","$26,517,819","Horror, Mystery, Sci-Fi",Gonzalo López-Gallego,1 win & 1 nomination.,5.2
Des Hommes et Des Dieux,2/25/2011,"$5,000,000","$3,954,651","$46,263,525","Documentary, Short",Louise Weiss,N/A,N/A
