Title,Release Date,Budget,Domestic Gross,Worldwide Gross,Genre,Director,Awards,imdbRating
Ant-Man,7/17/2015,"$130,000,000","$180,202,163","$518,602,163","Action, Adventure, Sci-Fi",Peyton Reed,Nominated for 1 BAFTA Film Award. Another 1 win & 26 nominations.,7.4
Home,3/27/2015,"$130,000,000","$177,397,510","$386,085,953","Animation, Adventure, Comedy",Tim Johnson,2 wins & 7 nominations.,6.7
Fantastic Four,8/7/2015,"$120,000,000","$56,117,548","$167,117,548","Action, Adventure, Sci-Fi",Tim Story,3 wins & 12 nominations.,5.7
San Andreas,5/29/2015,"$110,000,000","$155,190,832","$469,590,832","Action, Adventure, Drama",Brad Peyton,10 nominations.,6.1
The Divergent Series: Insurgent,3/20/2015,"$110,000,000","$130,179,072","$295,279,072","Short, Action",Cory Strassburger,N/A,6.2
The Martian,10/2/2015,"$108,000,000","$228,433,663","$640,048,094","Adventure, Drama, Sci-Fi",Ridley Scott,Nominated for 7 Oscars. Another 34 wins & 163 nominations.,8.1
Point Break,12/25/2015,"$100,000,000","$28,782,481","$128,131,571","Action, Crime, Thriller",Kathryn Bigelow,1 win & 2 nominations.,7.2
In the Heart of the Sea,12/11/2015,"$100,000,000","$25,020,758","$90,420,758","Action, Adventure, Biography",Ron Howard,1 win & 2 nominations.,7.0
The Peanuts Movie,11/6/2015,"$99,000,000","$130,178,411","$244,778,411","Animation, Adventure, Comedy",Steve Martino,Nominated for 1 Golden Globe. Another 1 win & 42 nominations.,7.2
Cinderella,3/13/2015,"$95,000,000","$201,151,353","$534,551,353","Animation, Family, Fantasy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Nominated for 3 Oscars. Another 4 wins & 4 nominations.,7.3
Seventh Son,2/6/2015,"$95,000,000","$17,223,265","$110,623,265","Action, Adventure, Fantasy",Sergey Bodrov,2 wins & 1 nomination.,5.5
Alvin and the Chipmunks: The Road Chip,12/18/2015,"$90,000,000","$85,867,500","$235,036,707","Animation, Adventure, Comedy",Walt Becker,1 win & 4 nominations.,4.6
Pixels,7/24/2015,"$90,000,000","$78,747,585","$244,126,300","Animation, Action, Comedy",Chris Columbus,1 win & 9 nominations.,5.7
Hotel Transylvania 2,9/25/2015,"$80,000,000","$169,700,110","$469,384,471","Animation, Comedy, Family",Genndy Tartakovsky,1 win & 7 nominations.,6.7
The Last Witch Hunter,10/23/2015,"$80,000,000","$27,367,660","$131,234,406","Action, Adventure, Fantasy",Breck Eisner,N/A,6.0
Top Cat Begins,12/31/2015,"$80,000,000",$0,"$4,007,009",Animation,Andrés Couturier,N/A,5.1
The Little Prince,12/31/2015,"$77,500,000",$0,"$88,896,076","Animation, Adventure, Drama",Mark Osborne,1 win.,7.8
The Man From U.N.C.L.E.,8/14/2015,"$75,000,000","$45,445,109","$105,445,109","Action, Adventure, Comedy",Guy Ritchie,4 wins & 2 nominations.,7.3
Minions,7/10/2015,"$74,000,000","$336,045,770","$1,163,622,202","Animation, Comedy, Family","Kyle Balda, Pierre Coffin",Nominated for 1 BAFTA Film Award. Another 16 nominations.,6.5
The SpongeBob Movie: Sponge Out of Water,2/6/2015,"$74,000,000","$162,994,032","$311,594,032","Animation, Adventure, Comedy","Paul Tibbitt, Mike Mitchell",4 nominations.,6.0
Blackhat,1/16/2015,"$70,000,000","$7,889,395","$19,535,476","Action, Crime, Drama",Michael Mann,2 nominations.,5.4
Ted 2,6/26/2015,"$68,000,000","$81,284,830","$216,500,183",Comedy,Seth MacFarlane,4 nominations.,6.4
Spy!,6/5/2015,"$65,000,000","$110,825,712","$233,125,712","Comedy, Short",Jules White,N/A,8.0
Focus,2/27/2015,"$65,000,000","$53,862,963","$154,362,963","Comedy, Crime, Drama","Glenn Ficarra, John Requa",2 nominations.,6.6
Everest,9/18/2015,"$65,000,000","$43,309,450","$204,130,404","Adventure, Biography, Drama",Baltasar Kormákur,7 nominations.,7.1
Dragon Blade,9/4/2015,"$65,000,000","$74,070","$116,864,070","Action, Adventure, Drama",Daniel Lee,2 wins & 1 nomination.,6.1
The Hateful Eight,12/25/2015,"$62,000,000","$54,117,416","$145,402,910","Crime, Drama, Mystery",Quentin Tarantino,Won 1 Oscar. Another 30 wins & 97 nominations.,7.9
The Scorch Trials,9/18/2015,"$61,000,000","$81,697,192","$310,697,192","Action, Sci-Fi, Thriller",Wes Ball,2 nominations.,6.4
Joy,12/25/2015,"$60,000,000","$56,451,232","$100,751,232","Biography, Comedy, Drama",David O. Russell,Nominated for 1 Oscar. Another 4 wins & 18 nominations.,6.6
The Ridiculous 6,12/11/2015,"$60,000,000",$0,$0,"Comedy, Western",Frank Coraci,N/A,4.9
Goosebumps,10/16/2015,"$58,000,000","$80,069,458","$157,023,208","Adventure, Comedy, Family",Rob Letterman,3 nominations.,6.4
Paddington,1/16/2015,"$55,000,000","$76,223,578","$259,541,430","Animation, Comedy, Family",Paul King,Nominated for 1 BAFTA Film Award. Another 1 win & 4 nominations.,7.2
Black Mass,9/18/2015,"$53,000,000","$62,575,678","$95,341,263","Biography, Crime, Drama",Scott Cooper,4 wins & 18 nominations.,7.0
Daddy's Home,12/25/2015,"$50,000,000","$150,357,137","$238,757,137",Comedy,Sean Anders,1 win & 1 nomination.,6.2
Run All Night,3/13/2015,"$50,000,000","$26,461,644","$66,961,644","Action, Crime, Drama",Jaume Collet-Serra,N/A,6.6
Child 44,4/17/2015,"$50,000,000","$1,224,330","$3,434,330","Crime, Drama, Thriller",Daniel Espinosa,1 nomination.,6.4
Chappie,3/6/2015,"$49,000,000","$31,569,268","$105,002,056","Action, Crime, Sci-Fi",Neill Blomkamp,1 nomination.,6.9
Taken 3,1/9/2015,"$48,000,000","$89,256,424","$327,656,424","Action, Thriller",Olivier Megaton,3 nominations.,6.0
Animal Kingdom: Let's Go Ape,12/31/2015,"$42,000,000",$0,"$72,611","Animation, Adventure, Comedy",Jamel Debbouze,N/A,4.9
Fifty Shades of Grey,2/13/2015,"$40,000,000","$166,167,230","$570,978,470","Drama, Romance",Sam Taylor-Johnson,Nominated for 1 Oscar. Another 7 wins & 16 nominations.,4.1
Get Hard,3/27/2015,"$40,000,000","$90,411,453","$106,511,453","Comedy, Crime",Etan Cohen,1 nomination.,6.1
The Intern,9/25/2015,"$40,000,000","$75,764,672","$197,232,734",Comedy,Nancy Meyers,1 win & 4 nominations.,7.2
Bridge of Spies,10/16/2015,"$40,000,000","$72,313,754","$161,513,754","Drama, History, Thriller",Steven Spielberg,Won 1 Oscar. Another 24 wins & 86 nominations.,7.6
The Gunman,3/20/2015,"$40,000,000","$10,664,749","$13,644,292","Action, Crime, Drama",Pierre Morel,N/A,5.8
Baahubali: The Beginning,7/10/2015,"$40,000,000","$6,738,000","$26,738,000","Action, Adventure, Drama",S.S. Rajamouli,1 win & 7 nominations.,8.6
Victor Frankenstein,11/25/2015,"$40,000,000","$5,775,076","$33,175,076","Drama, Sci-Fi, Thriller",Paul McGuigan,3 wins & 1 nomination.,6.0
The Crow,12/31/2015,"$40,000,000",$0,$0,"Action, Drama, Fantasy",Alex Proyas,3 wins & 6 nominations.,7.6
Paul Blart: Mall Cop 2,4/17/2015,"$38,000,000","$71,038,190","$107,597,242","Action, Comedy, Crime",Andy Fickman,9 nominations.,4.4
Creed,11/25/2015,"$37,000,000","$109,767,581","$173,267,581","Drama, Sport",Ryan Coogler,Nominated for 1 Oscar. Another 43 wins & 51 nominations.,7.7
Aloha,5/29/2015,"$37,000,000","$21,052,030","$24,935,799","Comedy, Drama, Romance",Cameron Crowe,1 win & 6 nominations.,5.4
Trainwreck,7/17/2015,"$35,000,000","$110,038,130","$140,561,831","Comedy, Romance",Judd Apatow,Nominated for 2 Golden Globes. Another 6 wins & 21 nominations.,6.3
Poltergeist,5/22/2015,"$35,000,000","$47,425,125","$95,825,125","Fantasy, Horror",Tobe Hooper,Nominated for 3 Oscars. Another 4 wins & 4 nominations.,7.4
Hot Pursuit,5/8/2015,"$35,000,000","$34,580,201","$45,680,201","Action, Comedy, Crime",Anne Fletcher,4 nominations.,5.1
Concussion,12/25/2015,"$35,000,000","$34,531,832","$48,660,443","Biography, Drama, Sport",Peter Landesman,Nominated for 1 Golden Globe. Another 4 wins & 13 nominations.,7.1
Unfinished Business,3/6/2015,"$35,000,000","$10,219,501","$12,819,501",Comedy,Ken Scott,N/A,5.4
The Walk,9/30/2015,"$35,000,000","$10,137,502","$61,173,364","Adventure, Biography, Drama",Robert Zemeckis,2 wins & 14 nominations.,7.4
The Lovers,3/13/2015,"$35,000,000",$0,"$11,106","Drama, Romance",Louis Malle,2 wins & 1 nomination.,7.3
The Longest Ride,4/10/2015,"$34,000,000","$37,446,117","$61,146,117","Drama, Romance",George Tillman Jr.,1 win & 4 nominations.,7.1
The Young and Prodigious T.S. Spivet,7/31/2015,"$33,000,000","$176,847","$357,687","Action, Adventure, Drama",Jean-Pierre Jeunet,5 wins & 6 nominations.,7.1
Vacation,7/29/2015,"$31,000,000","$58,884,188","$100,655,793","Adventure, Comedy","John Francis Daley, Jonathan M. Goldstein",1 win & 3 nominations.,6.2
Southpaw,7/24/2015,"$30,000,000","$52,421,953","$88,722,991","Action, Drama, Sport",Antoine Fuqua,8 nominations.,7.5
Sicario,9/18/2015,"$30,000,000","$46,889,293","$78,571,737","Action, Crime, Drama",Denis Villeneuve,Nominated for 3 Oscars. Another 10 wins & 124 nominations.,7.7
The Age of Adaline,4/24/2015,"$30,000,000","$42,629,776","$69,057,415","Drama, Fantasy, Romance",Lee Toland Krieger,7 nominations.,7.2
Entourage,6/3/2015,"$30,000,000","$32,363,404","$46,225,326","Comedy, Drama",N/A,Won 1 Golden Globe. Another 13 wins & 102 nominations.,8.6
Wild Card,1/30/2015,"$30,000,000","$3,200","$929,157","Action, Crime, Drama",Simon West,N/A,5.6
United Passions,6/5/2015,"$30,000,000",$918,"$168,832","Drama, History, Sport",Frédéric Auburtin,N/A,2.0
Grace of Monaco,12/1/2015,"$30,000,000",$0,"$25,199,891","Biography, Drama, Romance",Olivier Dahan,Nominated for 2 Primetime Emmys. Another 2 nominations.,5.7
Pitch Perfect 2,5/15/2015,"$29,000,000","$183,785,415","$286,995,378","Comedy, Music",Elizabeth Banks,8 wins & 14 nominations.,6.5
Straight Outta Compton,8/14/2015,"$28,000,000","$161,058,685","$201,344,719","Biography, Crime, Drama",F. Gary Gray,Nominated for 1 Oscar. Another 22 wins & 36 nominations.,8.0
The Big Short,12/11/2015,"$28,000,000","$70,259,870","$131,459,870","Biography, Comedy, Drama",Adam McKay,Won 1 Oscar. Another 31 wins & 71 nominations.,7.8
Our Brand is Crisis,10/30/2015,"$28,000,000","$7,002,261","$8,592,432","Comedy, Drama",David Gordon Green,N/A,6.1
Self/Less,7/10/2015,"$26,000,000","$12,279,691","$27,518,360","Action, Mystery, Sci-Fi",Tarsem Singh,N/A,6.5
Viy,6/30/2015,"$26,000,000",$0,"$34,246,770","Comedy, Drama, Fantasy","Konstantin Ershov, Georgiy Kropachyov",N/A,7.6
Accidental Love,3/17/2015,"$26,000,000",$0,"$135,436","Comedy, Romance",David O. Russell,N/A,4.0
The Face of an Angel,4/24/2015,"$26,000,000",$0,$0,Drama,Michael Winterbottom,1 nomination.,4.7
Shaun the Sheep,8/5/2015,"$25,000,000","$19,375,982","$101,937,062","Animation, Comedy, Family",N/A,5 wins & 2 nominations.,8.3
The 33,11/13/2015,"$25,000,000","$12,227,722","$28,083,632","Biography, Drama, History",Patricia Riggen,1 win & 2 nominations.,7.0
Kung Fu Killer,4/24/2015,"$25,000,000","$129,115","$129,115","Action, Thriller",Teddy Chan,3 wins & 6 nominations.,6.5
Red Sky,3/10/2015,"$25,000,000",$0,"$91,116","Action, Thriller",Mario Van Peebles,2 nominations.,4.1
The Water Diviner,4/24/2015,"$22,500,000","$4,200,117","$30,864,649","Drama, War",Russell Crowe,13 wins & 12 nominations.,7.1
The Transporter Refueled,9/4/2015,"$22,000,000","$16,029,670","$69,698,495","Action, Crime, Thriller",Camille Delamarre,N/A,5.1
Bitter Harvest,12/31/2015,"$21,000,000",$0,$0,"Action, Comedy, Thriller",Duane Clark,N/A,4.5
Spotlight,11/6/2015,"$20,000,000","$45,055,776","$90,206,716","Biography, Drama, History",Tom McCarthy,Won 2 Oscars. Another 107 wins & 124 nominations.,8.1
Max,6/26/2015,"$20,000,000","$42,656,255","$43,658,157","Adventure, Family",Boaz Yakin,1 nomination.,6.8
Secret in Their Eyes,11/20/2015,"$20,000,000","$20,180,155","$30,522,891","Crime, Drama, Mystery",Billy Ray,3 nominations.,6.2
Burnt,10/30/2015,"$20,000,000","$13,651,946","$32,632,668","Comedy, Drama",John Wells,6 wins.,6.6
Little Boy,4/24/2015,"$20,000,000","$6,485,961","$7,965,983","Drama, War",Alejandro Monteverde,1 nomination.,7.4
My All-American,11/13/2015,"$20,000,000","$2,246,000","$2,246,000","Biography, Drama, Sport",Angelo Pizzo,1 win.,6.9
By the Sea,11/13/2015,"$20,000,000","$538,460","$3,381,264","Drama, Romance",Angelina Jolie,1 nomination.,5.3
Regression,10/30/2015,"$20,000,000","$55,039","$14,883,495","Crime, Drama, Mystery",Alejandro Amenábar,2 nominations.,5.7
Survivor,5/29/2015,"$20,000,000",$0,"$774,905","Action, Crime, Thriller",James McTeigue,N/A,5.6
Love the Coopers,11/13/2015,"$18,000,000","$26,302,731","$42,167,286",Comedy,Jessie Nelson,1 nomination.,5.7
"McFarland, USA",2/20/2015,"$17,000,000","$44,480,275","$45,707,924","Biography, Drama, Sport",Niki Caro,3 wins & 2 nominations.,7.4
Escobar: Paradise Lost,6/26/2015,"$17,000,000","$195,792","$766,112","Crime, Drama, Romance",Andrea Di Stefano,1 nomination.,6.6
Krampus,12/4/2015,"$15,000,000","$42,725,475","$61,765,109","Comedy, Fantasy, Horror",Michael Dougherty,1 win & 9 nominations.,6.4
Scouts Guide to the Zombie Apocalypse,10/30/2015,"$15,000,000","$3,703,046","$14,947,243","Action, Comedy, Horror",Christopher Landon,1 nomination.,6.3
The Assassin,10/16/2015,"$15,000,000","$632,542","$6,832,542",Drama,Hsiao-Hsien Hou,Nominated for 1 BAFTA Film Award. Another 27 wins & 51 nominations.,6.4
Chiamatemi Francesco - Il papa della gente,12/31/2015,"$15,000,000",$0,"$3,439,835",Biography,Daniele Luchetti,N/A,5.7
Broken Horses,9/1/2015,"$15,000,000",$0,"$3,471","Action, Crime, Drama",Vidhu Vinod Chopra,N/A,5.7
In Dubious Battle,12/31/2015,"$15,000,000",$0,$0,Drama,James Franco,N/A,N/A
Magic Mike XXL,7/1/2015,"$14,500,000","$66,013,057","$117,813,057","Comedy, Drama, Music",Gregory Jacobs,2 wins & 1 nomination.,5.7
Freedom,6/5/2015,"$14,500,000",$0,"$565,801","Drama, Family, Music",Peter Cousens,N/A,6.3
Hot Tub Time Machine 2,2/20/2015,"$14,000,000","$12,314,651","$12,452,601","Comedy, Sci-Fi",Steve Pink,2 nominations.,5.1
Ex Machina,4/10/2015,"$13,000,000","$25,440,971","$37,065,887","Drama, Mystery, Sci-Fi",Alex Garland,Won 1 Oscar. Another 59 wins & 132 nominations.,7.7
Room,10/16/2015,"$13,000,000","$14,677,674","$35,985,405",Drama,Lenny Abrahamson,Won 1 Oscar. Another 90 wins & 121 nominations.,8.3
The Vatican Tapes,7/24/2015,"$13,000,000","$1,784,763","$12,986,189","Horror, Thriller",Mark Neveldine,N/A,4.5
Brothers,8/14/2015,"$13,000,000","$656,688","$17,856,688","Drama, Thriller",Jim Sheridan,Nominated for 2 Golden Globes. Another 3 wins & 13 nominations.,7.1
Paper Towns,7/24/2015,"$12,000,000","$32,000,304","$85,512,300","Drama, Mystery, Romance",Jake Schreier,3 wins & 2 nominations.,6.4
Project Almanac,1/30/2015,"$12,000,000","$22,348,241","$32,248,241","Sci-Fi, Thriller",Dean Israelite,N/A,6.4
Trash,10/9/2015,"$12,000,000","$17,484","$6,553,186","Adventure, Crime, Drama","Stephen Daldry, Christian Duurvoort",Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,7.2
10 Days in a Madhouse,11/11/2015,"$12,000,000","$14,616","$14,616",Drama,Timothy Hines,N/A,8.0
Dancin' It's On,10/30/2015,"$12,000,000",$0,$0,"Family, Musical",David Winters,N/A,5.2
A Tale of Three Cities,12/31/2015,"$12,000,000",$0,$0,Drama,Mabel Cheung,5 nominations.,6.2
Brooklyn,11/4/2015,"$11,000,000","$38,279,882","$60,259,806","Drama, Romance",John Crowley,Nominated for 3 Oscars. Another 30 wins & 138 nominations.,7.5
Woman in Gold,4/1/2015,"$11,000,000","$33,307,793","$56,758,138","Biography, Drama, History",Simon Curtis,5 nominations.,7.3
La famille Bélier,5/8/2015,"$11,000,000",$0,"$73,981,052","Comedy, Drama, Music",Eric Lartigau,4 wins & 10 nominations.,7.3
Insidious Chapter 3,6/5/2015,"$10,000,000","$52,218,558","$120,678,444","Fantasy, Horror, Thriller",Leigh Whannell,2 wins & 6 nominations.,6.1
Sinister 2,8/21/2015,"$10,000,000","$27,740,955","$52,690,149","Horror, Mystery, Thriller",Ciarán Foy,N/A,5.3
While We're Young,3/27/2015,"$10,000,000","$7,582,065","$13,423,176","Comedy, Drama",Noah Baumbach,1 win & 2 nominations.,6.3
Danny Collins,3/20/2015,"$10,000,000","$5,637,066","$7,501,132","Comedy, Drama, Music",Dan Fogelman,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,7.1
Strangerland,7/10/2015,"$10,000,000","$17,472","$28,048","Drama, Thriller",Kim Farrant,6 nominations.,5.2
Of Horses and Men,3/13/2015,"$10,000,000","$11,894","$11,894","Comedy, Drama, Romance",Benedikt Erlingsson,20 wins & 15 nominations.,6.9
Jungle Shuffle,3/10/2015,"$10,000,000",$0,"$314,073","Animation, Adventure","Taedong Park, Mauricio De la Orta",N/A,4.7
Into the Grizzly Maze,5/19/2015,"$10,000,000",$0,$0,"Action, Horror, Thriller",David Hackl,N/A,5.2
American Heist,7/21/2015,"$10,000,000",$0,$0,"Action, Crime, Drama",Sarik Andreasyan,N/A,5.2
Skin Trade,5/8/2015,"$9,000,000","$1,242","$1,242","Action, Crime, Thriller",Ekachai Uekrongtham,N/A,5.7
Veronika Decides to Die,1/20/2015,"$9,000,000",$0,"$2,243","Drama, Romance",Emily Young,N/A,6.5
Greater,12/31/2015,"$9,000,000",$0,$0,"Drama, History, War",Dean Wright,2 wins & 9 nominations.,6.6
Heist,11/13/2015,"$8,900,000","$50,136","$3,324,184","Action, Crime, Drama",David Mamet,N/A,6.5
The DUFF,2/20/2015,"$8,500,000","$34,030,343","$43,528,634",Comedy,Ari Sandel,1 win & 7 nominations.,6.5
Anomalisa,12/30/2015,"$8,000,000","$3,759,286","$5,526,480","Animation, Comedy, Drama","Duke Johnson, Charlie Kaufman",Nominated for 1 Oscar. Another 18 wins & 66 nominations.,7.4
Aloft,5/22/2015,"$8,000,000","$53,086","$53,086",Drama,Claudia Llosa,1 win & 1 nomination.,5.3
Green Street Hooligans: Underground,2/24/2015,"$8,000,000",$0,$0,None,None,None,None
A Street Cat Named Bob,12/31/2015,"$8,000,000",$0,$0,N/A,Roger Spottiswoode,N/A,N/A
Mr. Church,12/31/2015,"$8,000,000",$0,$0,Drama,Bruce Beresford,N/A,N/A
Far from Men,4/14/2015,"$7,700,000","$5,336","$1,080,428","Drama, War, Western",David Oelhoffen,8 wins & 5 nominations.,7.3
Black November,1/9/2015,"$7,500,000",$0,"$32,572","Action, Crime, Drama",Jeta Amata,3 wins & 3 nominations.,5.6
Outside Bet,2/24/2015,"$7,500,000",$0,"$13,524",Comedy,Sacha Bennett,N/A,4.9
Pound of Flesh,5/15/2015,"$7,500,000",$0,$0,"Action, Thriller",Ernie Barbarash,N/A,5.1
Dope,6/19/2015,"$7,000,000","$17,506,470","$18,190,831","Comedy, Crime, Drama",Rick Famuyiwa,6 wins & 20 nominations.,7.3
Hard to Be a God,1/30/2015,"$7,000,000","$31,443","$35,919","Drama, Sci-Fi",Aleksey German,10 wins & 10 nominations.,6.7
Z Storm,8/18/2015,"$7,000,000",$0,"$2,053,330","Action, Crime",David Lam,N/A,5.3
?????,12/31/2015,"$7,000,000",$0,"$1,390,976",None,None,None,None
Criminal Activities,11/20/2015,"$7,000,000",$0,"$97,379","Crime, Drama, Thriller",Jackie Earle Haley,N/A,5.8
Alpha & Omega: The Legend of the Saw Tooth Cave,9/1/2015,"$7,000,000",$0,$0,Crime,Joan Cutrina,N/A,6.0
Song One,1/23/2015,"$6,000,000","$32,251","$32,544","Drama, Music",Kate Barker-Froyland,1 nomination.,5.8
R100,1/23/2015,"$5,500,000","$24,956","$24,956","Comedy, Drama",Hitoshi Matsumoto,1 win & 4 nominations.,6.1
Miss Julie,5/5/2015,"$5,500,000",$0,"$863,895","Drama, Romance",Liv Ullmann,1 win & 7 nominations.,5.6
The Visit,9/11/2015,"$5,000,000","$65,112,020","$98,316,555","Horror, Thriller",M. Night Shyamalan,1 win & 9 nominations.,6.2
The Gift,8/7/2015,"$5,000,000","$43,787,265","$58,978,653","Mystery, Thriller",Joel Edgerton,1 win & 10 nominations.,7.1
No Escape,8/26/2015,"$5,000,000","$27,288,872","$39,157,326","Action, Thriller",John Erick Dowdle,N/A,6.8
The Lazarus Effect,2/27/2015,"$5,000,000","$25,801,570","$28,101,570","Horror, Sci-Fi, Thriller",David Gelb,N/A,5.2
Still Alice,1/16/2015,"$5,000,000","$18,656,400","$41,699,612",Drama,"Richard Glatzer, Wash Westmoreland",Won 1 Oscar. Another 28 wins & 32 nominations.,7.5
Aztec Warrior,12/31/2015,"$5,000,000",$0,$0,"Action, Comedy",Scott Sanders,N/A,N/A
Navy Seals vs. Zombies,9/25/2015,"$5,000,000",$0,$0,"Action, Horror",Stanton Barrett,N/A,3.4
Running Forever,10/27/2015,"$5,000,000",$0,$0,Family,Mike Mayhall,N/A,8.6
Yoga Hosers,12/31/2015,"$5,000,000",$0,$0,"Comedy, Fantasy, Horror",Kevin Smith,N/A,6.2
Born of War,1/27/2015,"$5,000,000",$0,$0,"Action, Drama, Thriller",Vicky Jewson,N/A,4.3
Area 51,8/4/2015,"$5,000,000",$0,$0,"Horror, Sci-Fi, Thriller",Oren Peli,N/A,4.2
Let's Kill Ward's Wife,1/9/2015,"$5,000,000",$0,$0,"Comedy, Crime",Scott Foley,N/A,5.4
Capricorn One,1/13/2015,"$5,000,000",$0,$0,"Action, Sci-Fi, Thriller",Peter Hyams,5 nominations.,6.8
Treading Water,3/10/2015,"$4,700,000",$0,$0,"Comedy, Drama",Analeine Cal y Mayor,1 win & 1 nomination.,6.2
Maggie,5/8/2015,"$4,500,000","$187,112","$597,989","Drama, Horror",Henry Hobson,1 win & 3 nominations.,5.6
Zipper,8/28/2015,"$4,500,000",$0,$0,"Drama, Thriller",Mora Stephens,N/A,5.7
R.L. Stine's Monsterville: The Cabinet of Souls,9/29/2015,"$4,400,000",$0,$0,Comedy,Peter DeLuise,N/A,5.9
The Boy Next Door,1/23/2015,"$4,000,000","$35,423,380","$52,426,530","Mystery, Thriller",Rob Cohen,1 win & 3 nominations.,4.6
Desert Dancer,4/10/2015,"$4,000,000","$155,271","$324,218","Biography, Drama",Richard Raymond,2 nominations.,5.9
"Buen Dia, Ramon",1/30/2015,"$4,000,000","$154,356","$4,854,356",Drama,Jorge Ramírez Suárez,7 wins & 7 nominations.,7.7
Futuro Beach,2/27/2015,"$4,000,000","$20,620","$760,678",Drama,Karim Aïnouz,8 wins & 11 nominations.,6.3
The Veil,12/31/2015,"$4,000,000",$0,$0,"Horror, Mystery",Phil Joanou,N/A,4.7
Chain of Command,9/8/2015,"$4,000,000",$0,$0,"Action, Thriller",Kevin Carraway,N/A,3.5
Dawn Patrol,6/5/2015,"$3,500,000",$0,$0,"Drama, Thriller",Daniel Petrie Jr.,N/A,4.8
Time to Choose,12/31/2015,"$3,500,000",$0,$0,Documentary,Charles Ferguson,N/A,8.1
Lords of London,9/1/2015,"$3,440,000",$0,$0,"Crime, Mystery, Thriller",Antonio Simoncini,N/A,3.1
To Write Love On Her Arms,3/3/2015,"$3,400,000",$0,$0,"Biography, Drama, Music",Nathan Frankowski,6 wins & 3 nominations.,6.6
The Opposite Sex,1/20/2015,"$3,300,000",$0,$0,"Comedy, Musical, Romance",David Miller,N/A,6.2
Amnesiac,8/14/2015,"$3,000,000",$0,$0,"Drama, Horror, Mystery",Michael Polish,N/A,4.3
Enter the Dangerous Mind,2/6/2015,"$3,000,000",$0,$0,Thriller,"Youssef Delara, Victor Teran",1 nomination.,5.1
Unnatural,12/31/2015,"$3,000,000",$0,$0,"Action, Horror, Thriller",Hank Braxtan,N/A,4.1
AWOL-72,12/31/2015,"$3,000,000",$0,$0,Thriller,Christian Sesma,N/A,3.9
Something Wicked,3/17/2015,"$3,000,000",$0,$0,"Drama, Horror, Mystery",Darin Scott,N/A,4.8
Close Range,12/11/2015,"$3,000,000",$0,$0,"Action, Crime",Isaac Florentine,N/A,4.9
Sardaar Ji,12/31/2015,"$2,700,000",$0,"$8,200,000",Romance,Rohit Jugraj,N/A,6.7
