Title,Release Date,Budget,Domestic Gross,Worldwide Gross,Genre,Director,Awards,imdbRating
Star Wars Episode VII: The Force Awakens,12/18/2015,"$306,000,000","$936,283,302","$2,058,283,302","Action, Adventure, Fantasy",J.J. Abrams,Nominated for 5 Oscars. Another 30 wins & 94 nominations.,8.3
Spectre,11/6/2015,"$300,000,000","$200,074,175","$879,620,923","Action, Adventure, Thriller",Sam Mendes,Won 1 Oscar. Another 7 wins & 22 nominations.,6.9
The Avengers: Age of Ultron,5/1/2015,"$250,000,000","$459,005,868","$1,404,705,868",Short,"Cj Schmidt, Andy Signore",N/A,N/A
Jurassic World,6/12/2015,"$215,000,000","$652,198,010","$1,670,328,025","Action, Adventure, Sci-Fi",Colin Trevorrow,4 wins & 50 nominations.,7.1
Furious 7,4/3/2015,"$190,000,000","$351,032,910","$1,514,019,071","Action, Crime, Thriller",James Wan,Nominated for 1 Golden Globe. Another 17 wins & 24 nominations.,7.3
The Good Dinosaur,11/25/2015,"$187,500,000","$123,087,120","$334,304,689","Animation, Adventure, Comedy",Peter Sohn,Nominated for 1 Golden Globe. Another 4 wins & 38 nominations.,6.8
Jupiter Ascending,2/6/2015,"$179,000,000","$47,482,519","$181,982,519","Action, Adventure, Sci-Fi","Lana Wachowski, Lilly Wachowski",2 wins & 14 nominations.,5.4
Inside Out,6/19/2015,"$175,000,000","$356,461,711","$853,923,085","Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen",Won 1 Oscar. Another 79 wins & 90 nominations.,8.3
Tomorrowland,5/22/2015,"$170,000,000","$93,436,322","$205,336,322","Action, Adventure, Family",Brad Bird,1 win & 12 nominations.,6.5
The Hunger Games: Mockingjay - Part 2,11/20/2015,"$160,000,000","$281,723,902","$650,523,427","Adventure, Sci-Fi",Francis Lawrence,1 win & 13 nominations.,6.7
Terminator: Genisys,7/1/2015,"$155,000,000","$89,760,956","$440,160,956",Documentary,N/A,N/A,N/A
Mission: Impossible - Rogue Nation,7/31/2015,"$150,000,000","$195,042,377","$700,868,363","Action, Adventure, Thriller",Christopher McQuarrie,2 wins & 17 nominations.,7.5
Mad Max: Fury Road,5/15/2015,"$150,000,000","$153,636,354","$373,136,354","Action, Adventure, Sci-Fi",George Miller,Won 6 Oscars. Another 185 wins & 182 nominations.,8.1
Pan,10/9/2015,"$150,000,000","$35,088,320","$123,888,320","Adventure, Family, Fantasy",Joe Wright,5 nominations.,5.9
The Revenant,12/25/2015,"$135,000,000","$183,564,514","$526,364,514","Adventure, Drama, Thriller",Alejandro G. Iñárritu,Won 3 Oscars. Another 71 wins & 152 nominations.,8.1
