Title,Genre,Director,Awards,imdbRating
Evan Almighty,"Comedy, Family, Fantasy",Tom Shadyac,2 wins & 11 nominations.,5.4
Waterworld,"Action, Adventure, Sci-Fi",Kevin Reynolds,Nominated for 1 Oscar. Another 5 wins & 8 nominations.,6.1
47 Ronin,"Action, Adventure, Drama",Carl Rinsch,5 nominations.,6.3
Singularity,"Action, Sci-Fi",Michael McCormick,N/A,7.8
Guardians of the Galaxy,"Action, Adventure, Sci-Fi",James Gunn,Nominated for 2 Oscars. Another 47 wins & 88 nominations.,8.1
Iron Man 2,"Action, Adventure, Sci-Fi",Jon Favreau,Nominated for 1 Oscar. Another 7 wins & 40 nominations.,7.0
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo",Nominated for 1 Oscar. Another 5 wins & 49 nominations.,7.8
Dawn of the Planet of the Apes,"Action, Adventure, Drama",Matt Reeves,Nominated for 1 Oscar. Another 14 wins & 44 nominations.,7.6
The Polar Express,"Animation, Adventure, Family",Robert Zemeckis,Nominated for 3 Oscars. Another 5 wins & 21 nominations.,6.6
Snow White and the Huntsman,"Action, Adventure, Drama",Rupert Sanders,Nominated for 2 Oscars. Another 13 wins & 31 nominations.,6.1
Terminator 3: Rise of the Machines,"Action, Sci-Fi",Jonathan Mostow,2 wins & 17 nominations.,6.4
Van Helsing,"Action, Adventure, Fantasy",Stephen Sommers,2 wins & 17 nominations.,6.0
Tomorrowland,"Action, Adventure, Family",Brad Bird,1 win & 12 nominations.,6.5
Shrek Forever After,"Animation, Adventure, Comedy",Mike Mitchell,1 win & 12 nominations.,6.4
Big Hero 6,"Animation, Action, Adventure","Don Hall, Chris Williams",Won 1 Oscar. Another 13 wins & 52 nominations.,7.9
How to Train Your Dragon,"Animation, Adventure, Family","Dean DeBlois, Chris Sanders",Nominated for 2 Oscars. Another 25 wins & 57 nominations.,8.2
Wreck-It Ralph,"Animation, Adventure, Comedy",Rich Moore,Nominated for 1 Oscar. Another 32 wins & 40 nominations.,7.8
Interstellar,"Adventure, Drama, Sci-Fi",Christopher Nolan,Won 1 Oscar. Another 37 wins & 124 nominations.,8.6
Shrek the Third,"Animation, Adventure, Comedy","Chris Miller, Raman Hui",Nominated for 1 BAFTA Film Award. Another 5 wins & 14 nominations.,6.1
Inception,"Action, Mystery, Sci-Fi",Christopher Nolan,Won 4 Oscars. Another 139 wins & 192 nominations.,8.8
The Hunger Games: Mockingjay - Part 2,"Adventure, Sci-Fi",Francis Lawrence,1 win & 13 nominations.,6.7
