"Title","Release Date","Budget","Domestic Gross","Worldwide Gross","Budget_Mill","Domestic_Mill","WorldWide_Mill","Budget_Mill_sqrt","Domestic_Mill_sqrt","Budget_Mill_Log10","Domestic_Mill_Log10","WorldWide_Mill_sqrt","WorldWide_Mill_Log10"
"The Golden Compass","12/1/2007",205000000,70107728,367262558,205,70.107728,367.262558,14.317821063276353,8.373035769659651,2.311753861055754,1.8457658930418406,19.164095543489655,2.5649766547736874
"Titanic","12/19/1997",200000000,658672302,2207615668,200,658.672302,2207.615668,14.142135623730951,25.66461186147182,2.3010299956639813,2.8186694011954603,46.985270755844326,3.3439234677006167
"Toy Story 3","6/18/2010",200000000,415004880,1069818229,200,415.00488,1069.818229,14.142135623730951,20.37166856200051,2.3010299956639813,2.618053203566577,32.7080758987746,3.0293099937147865
"Iron Man 3","5/3/2013",200000000,408992272,1215392272,200,408.992272,1215.392272,14.142135623730951,20.223557352750777,2.3010299956639813,2.6117151019939815,34.862476561483696,3.0847164705842562
"Spider-Man 2","6/30/2004",200000000,373524485,783705001,200,373.524485,783.705001,14.142135623730951,19.326781547893585,2.3010299956639813,2.5723190756342973,27.994731665082988,2.8941526181087083
"Alice in Wonderland","3/5/2010",200000000,334191110,1025491110,200,334.19111,1025.49111,14.142135623730951,18.28089467176046,2.3010299956639813,2.5239948928066354,32.02329011828734,3.0109318998144006
"Skyfall","11/8/2012",200000000,304360277,1110526981,200,304.360277,1110.526981,14.142135623730951,17.445924366453042,2.3010299956639813,2.483387970682544,33.32457022978691,3.0455291144892387
"Monsters University","6/21/2013",200000000,268488329,743588329,200,268.488329,743.588329,14.142135623730951,16.3856134764616,2.3010299956639813,2.4289254119683044,27.26881605424042,2.871332564678834
"Oz the Great and Powerful","3/8/2013",200000000,234770996,490359051,200,234.770996,490.359051,14.142135623730951,15.32223860928944,2.3010299956639813,2.3706444424256468,22.14405227143397,2.6905141958756307
"X-Men: Days of Future Past","5/23/2014",200000000,233921534,747862775,200,233.921534,747.862775,14.142135623730951,15.294493584293663,2.3010299956639813,2.3690702032837123,27.347079825824185,2.8738219166778682
"The Amazing Spider-Man 2","5/2/2014",200000000,202853933,708996336,200,202.853933,708.996336,14.142135623730951,14.24267997955441,2.3010299956639813,2.307183432368858,26.626985109095624,2.85064399081199
"Cars 2","6/24/2011",200000000,191450875,560155383,200,191.450875,560.155383,14.142135623730951,13.836577430853339,2.3010299956639813,2.2820573555716837,23.66760196978139,2.7483085138260446
"Tron: Legacy","12/17/2010",200000000,172062763,397562763,200,172.062763,397.562763,14.142135623730951,13.117269647300843,2.3010299956639813,2.235686892562245,19.938975976714552,2.5994057002198647
"2012","11/13/2009",200000000,166112167,788408539,200,166.112167,788.408539,14.142135623730951,12.888450915451399,2.3010299956639813,2.2204014438146653,28.078613551954447,2.8967513193371093
"Terminator Salvation","5/21/2009",200000000,125322469,365491792,200,125.322469,365.491792,14.142135623730951,11.194751850755782,2.3010299956639813,2.098028942405911,19.117839626903454,2.5628776282729926
"Green Lantern","6/17/2011",200000000,116601172,231201172,200,116.601172,231.201172,14.142135623730951,10.798202257783469,2.3010299956639813,2.066702915693791,15.20530078623899,2.3639900312703026
"Prince of Persia: Sands of Time","5/28/2010",200000000,90759676,314594597,200,90.759676,314.594597,14.142135623730951,9.52678728638359,2.3010299956639813,1.9578929368419937,17.736814736586727,2.497751259567511
"Independence Day: Resurgence","6/24/2016",200000000,0,0,200,0,0,14.142135623730951,0,2.3010299956639813,,0,
"Transformers: Dark of the Moon","6/29/2011",195000000,352390543,1123790543,195,352.390543,1123.790543,13.96424004376894,18.772068159901828,2.290034611362518,2.5470242448647955,33.522985293675745,3.0506853730692596
"Jack the Giant Slayer","3/1/2013",195000000,65187603,197687603,195,65.187603,197.687603,13.96424004376894,8.07388400957061,2.290034611362518,1.8141650119803288,14.060142353475657,2.2959794355377365
"Furious 7","4/3/2015",190000000,351032910,1514019071,190,351.03291,1514.019071,13.784048752090222,18.73587227753221,2.278753600952829,2.5453478343045646,38.910397980488455,3.1801313456910685
"Star Trek Into Darkness","5/15/2013",190000000,228778661,467381584,190,228.778661,467.381584,13.784048752090222,15.125430936009725,2.278753600952829,2.3594155138179356,21.61900978305898,2.66967159610767
"World War Z","6/21/2013",190000000,202359711,531514650,190,202.359711,531.51465,13.784048752090222,14.225319363726074,2.278753600952829,2.306124050499354,23.05460149297749,2.725515239370089
"The Great Gatsby","5/10/2013",190000000,144840419,351040419,190,144.840419,351.040419,13.784048752090222,12.03496651428661,2.278753600952829,2.1608897724907674,18.73607266745088,2.5453571242665385
"Disney's A Christmas Carol","11/6/2009",190000000,137855863,315709697,190,137.855863,315.709697,13.784048752090222,11.741203643579308,2.278753600952829,2.139425241347852,17.768221548596248,2.49928792141998
"Pacific Rim","7/12/2013",190000000,101802906,411002906,190,101.802906,411.002906,13.784048752090222,10.08974261316908,2.278753600952829,2.007760175267452,20.273206603791124,2.6138448925702362
"The Good Dinosaur","11/25/2015",187500000,123087120,334304689,187.5,123.08712,334.304689,13.693063937629153,11.094463484098725,2.2730012720637376,2.090212610156471,18.284000902428332,2.5241424681048152
"Iron Man","5/2/2008",186000000,318604126,582443126,186,318.604126,582.443126,13.638181696985855,17.84948531470866,2.2695129442179165,2.5032513957194427,24.133858497969197,2.765253524083856
"The Dark Knight","7/18/2008",185000000,533345358,1002891358,185,533.345358,1002.891358,13.601470508735444,23.09427110778775,2.2671717284030137,2.7270085195378435,31.66845998781753,3.001253888975923
"Indiana Jones and the Kingdom of the Crystal Skull","5/22/2008",185000000,317023851,786558145,185,317.023851,786.558145,13.601470508735444,17.805163604977068,2.2671717284030137,2.5010919371957554,28.045643957663014,2.895730832641784
"Brave","6/22/2012",185000000,237282182,554606532,185,237.282182,554.606532,13.601470508735444,15.403966437252452,2.2671717284030137,2.375265127388801,23.550085604939955,2.7439849802704224
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","12/9/2005",180000000,291710957,720539572,180,291.710957,720.539572,13.416407864998739,17.079547915562635,2.255272505103306,2.4649527420297495,26.8428681775998,2.8576578372378703
"Maleficent","5/30/2014",180000000,241407328,758536735,180,241.407328,758.536735,13.416407864998739,15.537288309096926,2.255272505103306,2.3827504491153477,27.541545617484868,2.8799766179790116
"WALL-E","6/27/2008",180000000,223808164,532590994,180,223.808164,532.590994,13.416407864998739,14.960219383418146,2.255272505103306,2.349875924531394,23.077933053027085,2.726393818338046
"Rush Hour 3","8/10/2007",180000000,140125968,256585882,180,140.125968,256.585882,13.416407864998739,11.83748148889788,2.255272505103306,2.146518625750087,16.01829834907566,2.409232756722565
"Hugo","11/23/2011",180000000,73864507,180047784,180,73.864507,180.047784,13.416407864998739,8.59444628815609,2.255272505103306,1.8684358035249833,13.418188551365644,2.2553877805115565
"Valerian and the City of a Thousand Planets","7/21/2017",180000000,0,0,180,0,0,13.416407864998739,0,2.255272505103306,,0,
"Jupiter Ascending","2/6/2015",179000000,47482519,181982519,179,47.482519,181.982519,13.379088160259652,6.89075605430928,2.2528530309798933,1.676533750694954,13.490089658708722,2.2600296722352917
"Edge of Tomorrow","6/6/2014",178000000,100206256,364406256,178,100.206256,364.406256,13.341664064126334,10.010307487784779,2.250420002308894,2.000894835917114,19.089427859419988,2.5615858241817424
"Inside Out","6/19/2015",175000000,356461711,853923085,175,356.461711,853.923085,13.228756555322953,18.880193616591963,2.2430380486862944,2.5520128873590937,29.221962374214364,2.931418754454332
"Up","5/29/2009",175000000,293004164,731542621,175,293.004164,731.542621,13.228756555322953,17.117364399930263,2.2430380486862944,2.4668737923314903,27.04704458901194,2.864239633982707
"The Jungle Book","4/15/2016",175000000,284985265,776185265,175,284.985265,776.185265,13.228756555322953,16.881506597457467,2.2430380486862944,2.4548224056414054,27.860101668874073,2.8899653938923593
"Monsters vs. Aliens","3/27/2009",175000000,198351526,381687380,175,198.351526,381.68738,13.228756555322953,14.083732672839258,2.2430380486862944,2.297435546029378,19.53682113343929,2.5817078008006358
"G.I. Joe: The Rise of Cobra","8/7/2009",175000000,150201498,302469017,175,150.201498,302.469017,13.228756555322953,12.255672074594685,2.2430380486862944,2.1766742640256043,17.391636409492925,2.4806808949056127
"Wild Wild West","6/30/1999",175000000,113805681,221229335,175,113.805681,221.229335,13.228756555322953,10.667974550025885,2.2430380486862944,2.0561639418953495,14.873780118046655,2.3448427138800643
"The Mummy: Tomb of the Dragon Emperor","8/1/2008",175000000,102277510,405545959,175,102.27751,405.545959,13.228756555322953,10.11323439854926,2.2430380486862944,2.0097801463544602,20.138171689604793,2.608040078298272
"Evan Almighty","6/22/2007",175000000,100289690,174131329,175,100.28969,174.131329,13.228756555322953,10.014474025129827,2.2430380486862944,2.00125628889028,13.195883032218799,2.240876914642782
"Waterworld","7/28/1995",175000000,88214660,264214660,175,88.21466,264.21466,13.228756555322953,9.392265967273286,2.2430380486862944,1.9455407645881002,16.254681171896298,2.421956910857884
"47 Ronin","12/25/2013",175000000,38362475,151659062,175,38.362475,151.659062,13.228756555322953,6.193744828453946,2.2430380486862944,1.5839066184195967,12.314993382052627,2.180868365579834
"Singularity","12/31/2020",175000000,0,0,175,0,0,13.228756555322953,0,2.2430380486862944,,0,
"Guardians of the Galaxy","8/1/2014",170000000,333172112,771172112,170,333.172112,771.172112,13.038404810405298,18.25300282145379,2.230448921378274,2.522668641860215,27.769985812023744,2.8871513157294406
"Iron Man 2","5/7/2010",170000000,312128345,623256345,170,312.128345,623.256345,13.038404810405298,17.667154411506115,2.230448921378274,2.494333209607727,24.965102543350387,2.7946667084906305
"Captain America: The Winter Soldier","4/4/2014",170000000,259746958,714401889,170,259.746958,714.401889,13.038404810405298,16.1166670872113,2.230448921378274,2.4145504700634786,26.728297532764785,2.853942594230422
"Dawn of the Planet of the Apes","7/11/2014",170000000,208545589,703545589,170,208.545589,703.545589,13.038404810405298,14.44110760987536,2.230448921378274,2.3192010084076045,26.52443381111084,2.847292244499468
"The Polar Express","11/10/2004",170000000,194949659,319090241,170,194.949659,319.090241,13.038404810405298,13.96243743047753,2.230448921378274,2.2899224798700017,17.863097183859242,2.5039135220103086
"Snow White and the Huntsman","6/1/2012",170000000,155136755,401016924,170,155.136755,401.016924,13.038404810405298,12.45539060005747,2.230448921378274,2.1907147030529086,20.02540696215685,2.6031627014099943
"Terminator 3: Rise of the Machines","7/1/2003",170000000,150358296,433058296,170,150.358296,433.058296,13.038404810405298,12.262067362398561,2.230448921378274,2.1771273952408268,20.810052763027777,2.636546362697426
"Van Helsing","5/7/2004",170000000,120150546,300150546,170,120.150546,300.150546,13.038404810405298,10.961320449653865,2.230448921378274,2.0797257487083614,17.324853419293337,2.4773391377121206
"Tomorrowland","5/22/2015",170000000,93436322,205336322,170,93.436322,205.336322,13.038404810405298,9.666246531099857,2.230448921378274,1.9705157346640592,14.329561123774866,2.312465778639547
"Shrek Forever After","5/21/2010",165000000,238395990,755903876,165,238.39599,755.903876,12.84523257866513,15.440077396179076,2.2174839442139063,2.3772989459695446,27.49370611612774,2.87846657225124
"Big Hero 6","11/7/2014",165000000,222527828,652127828,165,222.527828,652.127828,12.84523257866513,14.917366657691296,2.2174839442139063,2.3473843289849854,25.536793612354703,2.814332733084285
"How to Train Your Dragon","3/26/2010",165000000,217581231,494870991,165,217.581231,494.870991,12.84523257866513,14.750634935486676,2.2174839442139063,2.3376214295156026,22.24569601068935,2.694491996510945
"Wreck-It Ralph","11/2/2012",165000000,189412677,496511521,165,189.412677,496.511521,12.84523257866513,13.762727818277886,2.2174839442139063,2.277409042074358,22.282538477471547,2.6959293302708263
"Interstellar","11/5/2014",165000000,188017894,665417894,165,188.017894,665.417894,12.84523257866513,13.711961712315274,2.2174839442139063,2.274199183814982,25.795695261031444,2.823094475464226
"Cowboys and Aliens","7/29/2011",163000000,100240551,175910315,163,100.240551,175.910315,12.767145334803704,10.012020325588637,2.2121876044039577,2.001043445212768,13.26311860008799,2.2452913062922364
"Shrek the Third","5/17/2007",160000000,321012359,805623351,160,321.012359,805.623351,12.649110640673518,17.916817769905457,2.2041199826559246,2.506521753097012,28.383504910422882,2.906132045757421
"Inception","7/16/2010",160000000,292576195,832584416,160,292.576195,832.584416,12.649110640673518,17.104858812629818,2.2041199826559246,2.4662389875421518,28.854538915047666,2.920428277667085
"The Hunger Games: Mockingjay - Part 2","11/20/2015",160000000,281723902,650523427,160,281.723902,650.523427,12.649110640673518,16.78463291228021,2.2041199826559246,2.4498236949316126,25.50536075024229,2.8132629412260073
"Fast and Furious 6","5/24/2013",160000000,238679850,789952811,160,238.67985,789.952811,12.649110640673518,15.449266972901983,2.2041199826559246,2.37781575623678,28.10609917793645,2.897601148841819
"Godzilla","5/16/2014",160000000,200672193,529072193,160,200.672193,529.072193,12.649110640673518,14.165881299799176,2.2041199826559246,2.302487196785789,23.001569359502408,2.723514936463054
"X-Men: First Class","6/3/2011",160000000,146408305,355408305,160,146.408305,355.408305,12.649110640673518,12.099929958474966,2.2041199826559246,2.165565712742674,18.85227585730699,2.5507275719598024
"The Curious Case of Benjamin Button","12/25/2008",160000000,127509326,329809326,160,127.509326,329.809326,12.649110640673518,11.292002745306078,2.2041199826559246,2.105541950120705,18.160653237149813,2.5182629320030836
"The Sorcerer's Apprentice","7/14/2010",160000000,63150991,217986320,160,63.150991,217.98632,12.649110640673518,7.9467597799354674,2.2041199826559246,1.8003801701321196,14.764359789709813,2.3384292397746482
"Poseidon","5/12/2006",160000000,60674817,181674817,160,60.674817,181.674817,12.649110640673518,7.789404149227334,2.2041199826559246,1.7830084751397772,13.478680091166197,2.25929473140318
"The Chronicles of Narnia: The Voyage of the Dawn Treader","12/10/2010",155000000,104386950,418186950,155,104.38695,418.18695,12.449899597988733,10.21699319760956,2.1903316981702914,2.018646208462797,20.449619800866714,2.621370476039236
"Terminator: Genisys","7/1/2015",155000000,89760956,440160956,155,89.760956,440.160956,12.449899597988733,9.474225878666816,2.1903316981702914,1.9530874693946365,20.980013250710783,2.6436115163050453
"Alexander","11/24/2004",155000000,34297191,167297191,155,34.297191,167.297191,12.449899597988733,5.856380366745316,2.1903316981702914,1.5352585520207402,12.93434153716377,2.223488649011162
"Pearl Harbor","5/25/2001",151500000,198539855,449239855,151.5,198.539855,449.239855,12.30853362509117,14.090417133640862,2.180412632838324,2.2978477003644753,21.195279073416323,2.652478278397
"Transformers","7/2/2007",151000000,319071806,708098205,151,319.071806,708.098205,12.288205727444508,17.86258116846499,2.1789769472931693,2.503888430518849,26.61011471226684,2.8500934934693403
"Frozen","11/22/2013",150000000,400738009,1274234980,150,400.738009,1274.23498,12.24744871391589,20.018441722571716,2.1760912590556813,2.602860536133996,35.696428112627736,3.1052495230599897
"Harry Potter and the Order of the Phoenix","7/11/2007",150000000,292004738,942943935,150,292.004738,942.943935,12.24744871391589,17.088146125311546,2.1760912590556813,2.465389898265409,30.707392188201197,2.9744858714817934
"Harry Potter and the Goblet of Fire","11/18/2005",150000000,290013036,896911078,150,290.013036,896.911078,12.24744871391589,17.029769111764256,2.1760912590556813,2.462417519745934,29.94847371736997,2.952749388140842
"The Matrix Reloaded","5/15/2003",150000000,281553689,738576929,150,281.553689,738.576929,12.24744871391589,16.779561645049014,2.1760912590556813,2.4495612219695087,27.1767718649585,2.868395737427494
"I am Legend","12/14/2007",150000000,256393010,585532684,150,256.39301,585.532684,12.24744871391589,16.012276852465423,2.1760912590556813,2.408906180909926,24.197782625687008,2.7675511420807584
"Hancock","7/1/2008",150000000,227946274,624234272,150,227.946274,624.234272,12.24744871391589,15.097889720090024,2.1760912590556813,2.3578324976370606,24.98468074640939,2.795347608821285
"Charlie and the Chocolate Factory","7/15/2005",150000000,206459076,475825484,150,206.459076,475.825484,12.24744871391589,14.368683864571592,2.1760912590556813,2.314833979339945,21.813424398750417,2.677447698029529
"Ratatouille","6/29/2007",150000000,206445654,626549695,150,206.445654,626.549695,12.24744871391589,14.368216799589293,2.1760912590556813,2.314805744737071,25.03097471134514,2.796955522909344
"Thor: The Dark World","11/8/2013",150000000,206360018,644600394,150,206.360018,644.600394,12.24744871391589,14.365236440796927,2.1760912590556813,2.3146255570831293,25.388981744055826,2.8092905666308203
"Batman Begins","6/15/2005",150000000,205343774,359142722,150,205.343774,359.142722,12.24744871391589,14.329821143336018,2.1760912590556813,2.312481539629724,18.951061236775107,2.555267069913782
"Mission: Impossible - Rogue Nation","7/31/2015",150000000,195042377,700868363,150,195.042377,700.868363,12.24744871391589,13.965757301342451,2.1760912590556813,2.2901289810947176,26.473918542595843,2.8456364564957086
"Thor","5/6/2011",150000000,181030624,449326618,150,181.030624,449.326618,12.24744871391589,13.45476213093342,2.1760912590556813,2.2577520484007803,21.197325727553466,2.6525621468550002
"Madagascar: Escape 2 Africa","11/7/2008",150000000,180010950,599516844,150,180.01095,599.516844,12.24744871391589,13.416815941198568,2.1760912590556813,2.2552989238807255,24.48503306103547,2.777801389525756
"X-Men Origins: Wolverine","5/1/2009",150000000,179883157,374825760,150,179.883157,374.82576,12.24744871391589,13.412052676603981,2.1760912590556813,2.254990500953098,19.360417350873405,2.5738294302451314
"Night at the Museum: Battle of the Smithsonian","5/22/2009",150000000,177243721,402231063,150,177.243721,402.231063,12.24744871391589,13.313291140811126,2.1760912590556813,2.248570858899656,20.055699015491832,2.6044756067096655
"Kung Fu Panda 2","5/26/2011",150000000,165249063,664837547,150,165.249063,664.837547,12.24744871391589,12.8549236870547,2.1760912590556813,2.2181390056155705,25.78444389549637,2.8227155384451974
"Mad Max: Fury Road","5/15/2015",150000000,153636354,373136354,150,153.636354,373.136354,12.24744871391589,12.395013271473331,2.1760912590556813,2.1864939922156754,19.31673766452296,2.5718675636279515
"The Matrix Revolutions","11/5/2003",150000000,139259759,427289109,150,139.259759,427.289109,12.24744871391589,11.800837216062257,2.1760912590556813,2.1438256392593464,20.670972618626344,2.6307218234011396
"Mission: Impossible III","5/5/2006",150000000,133501348,397501348,150,133.501348,397.501348,12.24744871391589,11.55427834180915,2.1760912590556813,2.125485650914122,19.937435843156962,2.5993386057672536
"Angels & Demons","5/15/2009",150000000,133375846,490875846,150,133.375846,490.875846,12.24744871391589,11.54884608954505,2.1760912590556813,2.125077187161422,22.155718133249483,2.690971662763965
"Troy","5/14/2004",150000000,133298577,484161265,150,133.298577,484.161265,12.24744871391589,11.54550029232168,2.1760912590556813,2.124825513222213,22.003664808390443,2.6849900410543492
"The Last Airbender","7/1/2010",150000000,131601062,319542756,150,131.601062,319.542756,12.24744871391589,11.47175060747051,2.1760912590556813,2.119259393980663,17.8757588929813,2.5045289765868537
"Bee Movie","11/2/2007",150000000,126631277,287594577,150,126.631277,287.594577,12.24744871391589,11.253056340390375,2.1760912590556813,2.102540986493884,16.95861365206484,2.4587806925551416
"G-Force","7/24/2009",150000000,119436770,292817841,150,119.43677,292.817841,12.24744871391589,10.928713098988371,2.1760912590556813,2.077138049990375,17.11192102015434,2.4665975341752944
"Bolt","11/21/2008",150000000,114053759,328015209,150,114.053759,328.015209,12.24744871391589,10.679595451139523,2.1760912590556813,2.0571096033878087,18.111190159677527,2.5158939810032717
"Wrath of the Titans","3/30/2012",150000000,83670083,305270083,150,83.670083,305.270083,12.24744871391589,9.147135234596677,2.1760912590556813,1.9225701998023028,17.471979939319986,2.4846842447681925
"Beowulf","11/16/2007",150000000,82195215,194995215,150,82.195215,194.995215,12.24744871391589,9.06615767566393,2.1760912590556813,1.9148465357932978,13.964068712234267,2.290023954313323
"Dark Shadows","5/11/2012",150000000,79727149,238202668,150,79.727149,238.202668,12.24744871391589,8.929006047707661,2.1760912590556813,1.9016062342337579,15.433815730401863,2.3769466215094317
"White House Down","6/28/2013",150000000,73103784,205440387,150,73.103784,205.440387,12.24744871391589,8.550075087389585,2.1760912590556813,1.8639398575021382,14.333191793874803,2.3126858244952926
"The Wolfman","2/12/2010",150000000,61979680,142424154,150,61.97968,142.424154,12.24744871391589,7.872717446981062,2.1760912590556813,1.792249329654265,11.934159124127682,2.1535836484255553
"Pan","10/9/2015",150000000,35088320,123888320,150,35.08832,123.88832,12.24744871391589,5.923539482437844,2.1760912590556813,1.545162575049376,11.130513016029404,2.093030363691175
"Mars Needs Moms","3/11/2011",150000000,21392758,39549758,150,21.392758,39.549758,12.24744871391589,4.625230588846355,2.1760912590556813,1.3302667783521416,6.288859833069902,1.5971438304484573
"Passengers","12/21/2016",150000000,0,0,150,0,0,12.24744871391589,0,2.1760912590556813,,0,
"Flushed Away","11/3/2006",149000000,64665672,179357126,149,64.665672,179.357126,12.206555615733702,8.041496875582308,2.173186268412274,1.8106737950832401,13.392427935217722,2.2537186362168815
"Madagascar 3: Europe's Most Wanted","6/8/2012",145000000,216391482,746921271,145,216.391482,746.921271,12.041594578792296,14.710250915603037,2.161368002234975,2.335240161271844,27.329860427744595,2.8732748275554547
"Mission: ImpossibleGhost Protocol","12/16/2011",145000000,209397903,694713230,145,209.397903,694.71323,12.041594578792296,14.470587513988505,2.161368002234975,2.3209723281542436,26.35741318870272,2.841805569582985
"How to Train Your Dragon 2","6/13/2014",145000000,177002924,616102924,145,177.002924,616.102924,12.041594578792296,13.304244585845527,2.161368002234975,2.2479804407492425,24.82142066844684,2.7896532699426575
