"Title","Release Date","Budget","Domestic Gross","Worldwide Gross","Budget_Mill","Domestic_Mill","WorldWide_Mill","Budget_Mill_sqrt","Domestic_Mill_sqrt","Budget_Mill_Log10","Domestic_Mill_Log10","WorldWide_Mill_sqrt","WorldWide_Mill_Log10"
"Bounce","11/17/2000",35000000,36805288,53425292,35,36.805288,53.425292,5.916079783099616,6.066736190077824,1.5440680443502757,1.5659102204190078,7.309260701329513,1.7277469045121419
"Hot Pursuit","5/8/2015",35000000,34580201,45680201,35,34.580201,45.680201,5.916079783099616,5.880493261623553,1.5440680443502757,1.5388275133143399,6.758712969197612,1.6597280062053663
"Concussion","12/25/2015",35000000,34531832,48660443,35,34.531832,48.660443,5.916079783099616,5.8763791572702315,1.5440680443502757,1.5382196193684365,6.975703763778964,1.6871760583880533
"Closer","12/3/2004",35000000,33987757,115476509,35,33.987757,115.476509,5.916079783099616,5.8299019717316005,1.5440680443502757,1.5313225045458283,10.745999674297408,2.062493646139119
"Black Knight","11/21/2001",35000000,33422806,33422806,35,33.422806,33.422806,5.916079783099616,5.781246059458117,1.5440680443502757,1.5240429081294835,5.781246059458117,1.5240429081294835
"Street Fighter","12/23/1994",35000000,33210975,99210975,35,33.210975,99.210975,5.916079783099616,5.762896407189704,1.5440680443502757,1.5212816257008908,9.960470621411421,1.9965597177014953
"The Bad News Bears","7/22/2005",35000000,32868349,33500620,35,32.868349,33.50062,5.916079783099616,5.733092446489939,1.5440680443502757,1.5167778897160165,5.787972010989686,1.5250528446513862
"The Pianist","12/27/2002",35000000,32519322,111854182,35,32.519322,111.854182,5.916079783099616,5.702571525198084,1.5440680443502757,1.5121414823485915,10.576113747497235,2.048652226122148
"House of Wax","5/6/2005",35000000,32064800,70064800,35,32.0648,70.0648,5.916079783099616,5.66257891777236,1.5440680443502757,1.5060285354066256,8.370471910233018,1.8454998866514587
"From Hell","10/19/2001",35000000,31598308,68712365,35,31.598308,68.712365,5.916079783099616,5.621237230361301,1.5440680443502757,1.4996638280001455,8.289292189324732,1.837034896711096
"Mirrors","8/15/2008",35000000,30691439,77220596,35,30.691439,77.220596,5.916079783099616,5.539985469295023,1.5440680443502757,1.4870172512571247,8.787525021301503,1.887733149250117
"Queen of the Damned","2/22/2002",35000000,30307804,30307804,35,30.307804,30.307804,5.916079783099616,5.505252401116592,1.5440680443502757,1.4815544700122039,5.505252401116592,1.4815544700122039
"Nanny McPhee and the Big Bang","8/20/2010",35000000,29011215,97613438,35,29.011215,97.613438,5.916079783099616,5.386205993090127,1.5440680443502757,1.4625659175908716,9.879951315669526,1.9895096091371647
"Untraceable","1/25/2008",35000000,28687835,52649951,35,28.687835,52.649951,5.916079783099616,5.356102594237717,1.5440680443502757,1.4576977743515576,7.256028596966801,1.72139797133462
"Predator 2","11/21/1990",35000000,28317513,54768418,35,28.317513,54.768418,5.916079783099616,5.321420205170797,1.5440680443502757,1.4520551085585207,7.400568761926342,1.7385301964008841
"Abduction","9/23/2011",35000000,28087155,86648359,35,28.087155,86.648359,5.916079783099616,5.299731596977341,1.5440680443502757,1.4485077509361677,9.308510031148916,1.9377603421913863
"Flash Gordon","12/5/1980",35000000,27107960,27107960,35,27.10796,27.10796,5.916079783099616,5.206530514651767,1.5440680443502757,1.433096836131626,5.206530514651767,1.433096836131626
"Superhero Movie","3/28/2008",35000000,26638520,73026302,35,26.63852,73.026302,5.916079783099616,5.161251786146457,1.5440680443502757,1.4255100923568143,8.54554281482458,1.8634793088345587
"Blast from the Past","2/12/1999",35000000,26494611,26494611,35,26.494611,26.494611,5.916079783099616,5.147291617928792,1.5440680443502757,1.4231575474852354,5.147291617928792,1.4231575474852354
"Alex Cross","10/19/2012",35000000,25888412,33360324,35,25.888412,33.360324,5.916079783099616,5.088065644230625,1.5440680443502757,1.4131054115477049,5.775839679215482,1.523230259913208
"Jersey Girl","3/26/2004",35000000,25266129,37066129,35,25.266129,37.066129,5.916079783099616,5.026542449835672,1.5440680443502757,1.4025387091649926,6.088195873984344,1.5689772328673834
"Midnight in the Garden of Good and Evil","11/21/1997",35000000,25078937,25078937,35,25.078937,25.078937,5.916079783099616,5.007887478767868,1.5440680443502757,1.39930912447056,5.007887478767868,1.39930912447056
"Heist","11/9/2001",35000000,23483357,28906817,35,23.483357,28.906817,5.916079783099616,4.845962958999997,1.5440680443502757,1.3707601804104919,5.376506021572002,1.4610002730805305
"Ella Enchanted","4/9/2004",35000000,22913677,22913677,35,22.913677,22.913677,5.916079783099616,4.786823268097539,1.5440680443502757,1.3600947868181315,4.786823268097539,1.3600947868181315
"Hoffa","12/25/1992",35000000,22867875,27893490,35,22.867875,27.89349,5.916079783099616,4.7820366999846415,1.5440680443502757,1.359225809615411,5.281428783956099,1.4455028560701866
"The X-Files: I Want to Believe","7/25/2008",35000000,20982478,68170792,35,20.982478,68.170792,5.916079783099616,4.5806634890592,1.5440680443502757,1.3218567764302707,8.256560542986408,1.8335983396084257
"Premium Rush","8/24/2012",35000000,20275446,31393201,35,20.275446,31.393201,5.916079783099616,4.5028264456894185,1.5440680443502757,1.3069704161857114,5.602963590815133,1.4968356006876071
"Broken City","1/18/2013",35000000,19701164,34480045,35,19.701164,34.480045,5.916079783099616,4.43859932861708,1.5440680443502757,1.2944918862551416,5.871971134125235,1.5375678239519481
"Valiant","8/19/2005",35000000,19478106,64188387,35,19.478106,64.188387,5.916079783099616,4.4134007295961695,1.5440680443502757,1.2895467249379298,8.011765535760517,1.8074564623675473
"Wonder Boys","2/23/2000",35000000,19389454,33422485,35,19.389454,33.422485,5.916079783099616,4.403345773386414,1.5440680443502757,1.2875655796756234,5.781218297210373,1.5240387370494686
"Cursed","2/25/2005",35000000,19294901,25114901,35,19.294901,25.114901,5.916079783099616,4.392596157171747,1.5440680443502757,1.2854425545962462,5.01147692801234,1.3999314705609294
"Walk Hard: The Dewey Cox Story","12/21/2007",35000000,18317151,20606053,35,18.317151,20.606053,5.916079783099616,4.279854086297803,1.5440680443502757,1.2628579255983443,4.5393890558091625,1.313994812522562
"The Four Feathers","9/20/2002",35000000,18306166,29882645,35,18.306166,29.882645,5.916079783099616,4.2785705556879625,1.5440680443502757,1.262597396218836,5.466502080855728,1.475419035515026
"Furry Vengeance","4/30/2010",35000000,17630465,39340177,35,17.630465,39.340177,5.916079783099616,4.198864727518618,1.5440680443502757,1.2462637668807688,6.272174822180899,1.5948363095729052
"Parker","1/25/2013",35000000,17616641,48543388,35,17.616641,48.543388,5.916079783099616,4.197218245457341,1.5440680443502757,1.2459231041763945,6.967308519076789,1.686130083869772
"Wimbledon","9/17/2004",35000000,16862585,41666476,35,16.862585,41.666476,5.916079783099616,4.106407797576855,1.5440680443502757,1.2269241518534475,6.4549574746856395,1.6197867709522977
"Bait","9/15/2000",35000000,15325127,15471969,35,15.325127,15.471969,5.916079783099616,3.9147320470244193,1.5440680443502757,1.185404082222796,3.9334423854939073,1.1895455865771873
"Dungeons and Dragons","12/8/2000",35000000,15185241,33771965,35,15.185241,33.771965,5.916079783099616,3.896824476416663,1.5440680443502757,1.1814216888548492,5.8113651580330075,1.5285563305148764
"Lions for Lambs","11/9/2007",35000000,14998070,63211088,35,14.99807,63.211088,5.916079783099616,3.8727341762635867,1.5440680443502757,1.1760353762371378,7.9505401074392426,1.8007932655425989
"Flight of the Intruder","1/18/1991",35000000,14471440,14471440,35,14.47144,14.47144,5.916079783099616,3.8041345927819115,1.5440680443502757,1.1605117483227743,3.8041345927819115,1.1605117483227743
"The Tree of Life","5/27/2011",35000000,13305665,61721826,35,13.305665,61.721826,5.916079783099616,3.647693106608614,1.5440680443502757,1.1240365849086984,7.856323949532631,1.7904387659003997
"American Outlaws","8/17/2001",35000000,13264986,13264986,35,13.264986,13.264986,5.916079783099616,3.6421128483340546,1.5440680443502757,1.1227067959598138,3.6421128483340546,1.1227067959598138
"Zoom","8/11/2006",35000000,11631245,12148105,35,11.631245,12.148105,5.916079783099616,3.4104611125183646,1.5440680443502757,1.0656262037818491,3.485413174933497,1.0845085370101004
"The Shipping News","12/25/2001",35000000,11405825,24405825,35,11.405825,24.405825,5.916079783099616,3.3772511011175936,1.5440680443502757,1.057126703903709,4.940225197296172,1.3874934928731686
"The Young Victoria","12/18/2009",35000000,11001272,31878891,35,11.001272,31.878891,5.916079783099616,3.3168165460272294,1.5440680443502757,1.041442902489441,5.646139477554553,1.5035032047893875
"Sabotage","3/28/2014",35000000,10508518,18376443,35,10.508518,18.376443,5.916079783099616,3.2416844386830745,1.5440680443502757,1.021541472469277,4.2867753615042625,1.2642614518287016
"Whiteout","9/11/2009",35000000,10275638,12254746,35,10.275638,12.254746,5.916079783099616,3.2055636009912516,1.5440680443502757,1.011808796122562,3.5006779343435754,1.0883043142056747
"Unfinished Business","3/6/2015",35000000,10219501,12819501,35,10.219501,12.819501,5.916079783099616,3.1967954266734053,1.5440680443502757,1.0094296904917235,3.58043307436405,1.1078711205678065
"The Fountain","11/22/2006",35000000,10144010,15461638,35,10.14401,15.461638,5.916079783099616,3.184966247858837,1.5440680443502757,1.0062096686668647,3.9321289399001147,1.1892555010104215
"The Walk","9/30/2015",35000000,10137502,61173364,35,10.137502,61.173364,5.916079783099616,3.1839444090624447,1.5440680443502757,1.0059309528999896,7.821340294348533,1.786562363552669
"Knock Off","9/4/1998",35000000,10076136,10076136,35,10.076136,10.076136,5.916079783099616,3.174292992148015,1.5440680443502757,1.0032940206413727,3.174292992148015,1.0032940206413727
"Mandela: Long Walk to Freedom","11/29/2013",35000000,8323085,27480015,35,8.323085,27.480015,5.916079783099616,2.884975736466427,1.5440680443502757,0.9202843299137922,5.242138399546506,1.439016965447755
"Punisher: War Zone","12/5/2008",35000000,8050977,10157534,35,8.050977,10.157534,5.916079783099616,2.837424360225308,1.5440680443502757,0.9058485859532923,3.1870886401228318,1.006788284701395
"The Order","9/5/2003",35000000,7659747,11559747,35,7.659747,11.559747,5.916079783099616,2.7676247939343224,1.5440680443502757,0.8842144252046011,3.3999627939140744,1.0629483290926152
"A Good Year","11/10/2006",35000000,7459300,42064105,35,7.4593,42.064105,5.916079783099616,2.7311719096387908,1.5440680443502757,0.8726980740676759,6.485684620762869,1.6239116528452013
"Femme Fatale","11/6/2002",35000000,6592103,16792103,35,6.592103,16.792103,5.916079783099616,2.567509104170811,1.5440680443502757,0.8190239844873252,4.097816857791475,1.2251050894734892
"Warriors of Virtue","5/2/1997",35000000,6448817,6448817,35,6.448817,6.448817,5.916079783099616,2.539452106262294,1.5440680443502757,0.8094800530083864,2.539452106262294,0.8094800530083864
"Luther","9/26/2003",35000000,5781086,32738814,35,5.781086,32.738814,5.916079783099616,2.4043889036509882,1.5440680443502757,0.7620094300303024,5.721784162304622,1.5150629425595825
"Biutiful","1/21/2010",35000000,5101237,24687524,35,5.101237,24.687524,5.916079783099616,2.2585918179254967,1.5440680443502757,0.7076755010260304,4.9686541437294665,1.3924775351705354
"Radio Flyer","2/21/1992",35000000,4651977,4651977,35,4.651977,4.651977,5.916079783099616,2.1568442224694855,1.5440680443502757,0.6676375588513857,2.1568442224694855,0.6676375588513857
"Bound by Honor","4/16/1993",35000000,4496583,4496583,35,4.496583,4.496583,5.916079783099616,2.12051479598705,1.5440680443502757,0.6528826142310342,2.12051479598705,0.6528826142310342
"Smilla's Sense of Snow","2/28/1997",35000000,2221994,2221994,35,2.221994,2.221994,5.916079783099616,1.4906354349739577,1.5440680443502757,0.34674288189089314,1.4906354349739577,0.34674288189089314
"Playing for Keeps","10/3/1986",35000000,2000000,2000000,35,2,2,5.916079783099616,1.4142135623730951,1.5440680443502757,0.3010299956639812,1.4142135623730951,0.3010299956639812
"Lion of the Desert","1/1/1980",35000000,1500000,1500000,35,1.5,1.5,5.916079783099616,1.224744871391589,1.5440680443502757,0.17609125905568124,1.224744871391589,0.17609125905568124
"Le hussard sur le toit","4/19/1996",35000000,1286429,1286429,35,1.286429,1.286429,5.916079783099616,1.134208534617863,1.5440680443502757,0.10938582182571827,1.134208534617863,0.10938582182571827
"Ride With the Devil","11/24/1999",35000000,630779,630779,35,0.630779,0.630779,5.916079783099616,0.7942159655912238,1.5440680443502757,-0.2001227737070118,0.7942159655912238,-0.2001227737070118
"Bandidas","9/22/2006",35000000,0,19282590,35,0,19.28259,5.916079783099616,0,1.5440680443502757,,4.391194598284161,1.2851653670752532
"The Lovers","3/13/2015",35000000,0,11106,35,0,0.011106,5.916079783099616,0,1.5440680443502757,,0.10538500842150177,-1.9544423308634522
"Black Water Transit","12/31/2008",35000000,0,0,35,0,0,5.916079783099616,0,1.5440680443502757,,0,
"The Darkest Hour","12/25/2011",34800000,21443494,62831715,34.8,21.443494,62.831715,5.89915248150105,4.63071204028063,1.541579243946581,1.331295550670385,7.926645885871275,1.7981789140032456
"The Maze Runner","9/19/2014",34000000,102427862,345527862,34,102.427862,345.527862,5.830951894845301,10.120665096721657,1.5314789170422551,2.010418107684414,18.588379757256952,2.53848307291132
"The Longest Ride","4/10/2015",34000000,37446117,61146117,34,37.446117,61.146117,5.830951894845301,6.119323246895853,1.5314789170422551,1.5734067899152022,7.819598263338085,1.7863688829746385
"The Age of Innocence","9/17/1993",34000000,32014993,32014993,34,32.014993,32.014993,5.830951894845301,5.65817930079986,1.5314789170422551,1.5053534112027693,5.65817930079986,1.5053534112027693
"Gake no ue no Ponyo","8/14/2009",34000000,15090399,205312666,34,15.090399,205.312666,5.830951894845301,3.884636276409929,1.5314789170422551,1.1787007229569944,14.328735673464006,2.3124157423770675
"Chill Factor","9/1/1999",34000000,11263966,11263966,34,11.263966,11.263966,5.830951894845301,3.356183248870657,1.5314789170422551,1.0516913308929703,3.356183248870657,1.0516913308929703
"The Astronaut's Wife","8/27/1999",34000000,10672566,10672566,34,10.672566,10.672566,5.830951894845301,3.266889346151779,1.5314789170422551,1.028268849196029,3.266889346151779,1.028268849196029
"I Dreamed of Africa","5/5/2000",34000000,6543194,6543194,34,6.543194,6.543194,5.830951894845301,2.5579667706989473,1.5314789170422551,0.8157897969421746,2.5579667706989473,0.8157897969421746
"Thunder and the House of Magic","9/5/2014",34000000,4091,10392666,34,0.004091,10.392666,5.830951894845301,0.06396092557178953,1.5314789170422551,-2.3881705205016264,3.2237658103528553,1.0167269701335788
"Reds","12/4/1981",33500000,50000000,50000000,33.5,50,50,5.787918451395113,7.0710678118654755,1.5250448070368452,1.6989700043360187,7.0710678118654755,1.6989700043360187
"A Few Good Men","12/11/1992",33000000,140525790,235685612,33,140.52579,235.685612,5.744562646538029,11.854357426701794,1.5185139398778875,2.1477560354641843,15.352055627830431,2.372333070773229
"Big Momma's House","6/2/2000",33000000,117559438,173559438,33,117.559438,173.559438,5.744562646538029,10.842483018202058,1.5185139398778875,2.0702575012345132,13.174195914741818,2.239448235177536
"Exit Wounds","3/16/2001",33000000,51758599,79958599,33,51.758599,79.958599,5.744562646538029,7.194344931958711,1.5185139398778875,1.713982512351452,8.941957224232288,1.9028651759926078
"Step Up Revolution","7/27/2012",33000000,35074677,165552290,33,35.074677,165.55229,5.744562646538029,5.922387778590659,1.5185139398778875,1.544993680334366,12.866712478329497,2.2189351925026752
"Snakes on a Plane","8/18/2006",33000000,34020814,62020814,33,34.020814,62.020814,5.744562646538029,5.832736407553491,1.5185139398778875,1.5317447005604725,7.87532945342606,1.7925374618914458
"The Punisher","4/16/2004",33000000,33571379,54440783,33,33.571379,54.440783,5.744562646538029,5.794081376715381,1.5185139398778875,1.525969180979622,7.378399758755282,1.7359243628599874
"The Watcher","9/8/2000",33000000,28946615,47267829,33,28.946615,47.267829,5.744562646538029,5.380205851080421,1.5185139398778875,1.4615977848933883,6.87516028904054,1.6745656557200412
"Safe","4/27/2012",33000000,17142080,41495213,33,17.14208,41.495213,5.744562646538029,4.14029950607441,1.5185139398778875,1.2340635175705799,6.441677809390966,1.617997998215757
"Doomsday","3/14/2008",33000000,11008770,21621188,33,11.00877,21.621188,5.744562646538029,3.3179466541823723,1.5185139398778875,1.041738798349274,4.649858922591093,1.3348795530617756
"Pushing Tin","4/23/1999",33000000,8408835,8408835,33,8.408835,8.408835,5.744562646538029,2.8997991309744195,1.5185139398778875,0.92473583074222,2.8997991309744195,0.92473583074222
"Goal! The Dream Begins","5/12/2006",33000000,4283255,27610873,33,4.283255,27.610873,5.744562646538029,2.0696026188618917,1.5185139398778875,0.6317739305245781,5.254604932818451,1.4410801383701155
"The Young and Prodigious T.S. Spivet","7/31/2015",33000000,176847,357687,33,0.176847,0.357687,5.744562646538029,0.4205318061692837,1.5185139398778875,-0.7524023030785006,0.5980693939669542,-0.4464968438344279
"Rings","10/28/2016",33000000,0,0,33,0,0,5.744562646538029,0,1.5185139398778875,,0,
"Star Wars Ep. VI: Return of the Jedi","5/25/1983",32500000,309125409,572625409,32.5,309.125409,572.625409,5.70087712549569,17.58196260375957,1.5118833609788744,2.490134703979384,23.929592746221154,2.7578706149808303
"Bridesmaids","5/13/2011",32500000,169106725,289527030,32.5,169.106725,289.52703,5.70087712549569,13.004104159841232,1.5118833609788744,2.2281608788710505,17.015493821808406,2.4616891153237597
"The Reader","12/10/2008",32500000,34194407,113019290,32.5,34.194407,113.01929,5.70087712549569,5.847598395922893,1.5118833609788744,1.533955076591907,10.631053099293597,2.05315257468325
"The Big Wedding","4/26/2013",32500000,21819348,48425971,32.5,21.819348,48.425971,5.70087712549569,4.671118495606807,1.5118833609788744,1.3388417689730923,6.9588771364351585,1.685078337614465
"Wanderlust","2/24/2012",32500000,17288155,24159934,32.5,17.288155,24.159934,5.70087712549569,4.157902716514661,1.5118833609788744,1.2377486476363446,4.915275577218433,1.383095743546985
"Elf","11/7/2003",32000000,173398518,220236410,32,173.398518,220.23641,5.656854249492381,13.168087104815186,1.505149978319906,2.239045381334121,14.840364213859443,2.342889119153993
"Phenomenon","7/5/1996",32000000,104632573,152032573,32,104.632573,152.032573,5.656854249492381,10.229006452241586,1.505149978319906,2.019666905104902,12.330148944761374,2.1819366455673395
"This is the End","6/12/2013",32000000,101470202,126539117,32,101.470202,126.539117,5.656854249492381,10.073241881340882,1.505149978319906,2.0063385249394274,11.24896070754983,2.1022247995923453
"Snow Dogs","1/18/2002",32000000,81150692,116898028,32,81.150692,116.898028,5.656854249492381,9.008367887691977,1.505149978319906,1.9092922275571995,10.811939141523133,2.067807184934791
"Nacho Libre","6/16/2006",32000000,80197993,99296462,32,80.197993,99.296462,5.656854249492381,8.955333215464403,1.505149978319906,1.9041634999558394,9.964761010681592,1.996933774565366
"Scrooged","11/23/1988",32000000,59450353,59450353,32,59.450353,59.450353,5.656854249492381,7.7104055016581325,1.505149978319906,1.7741544376846845,7.7104055016581325,1.7741544376846845
"Takers","8/27/2010",32000000,57744720,70587268,32,57.74472,70.587268,5.656854249492381,7.5989946703494935,1.505149978319906,1.761512279824838,8.401622938456592,1.848726373346524
"Source Code","4/1/2011",32000000,54712227,140428499,32,54.712227,140.428499,5.656854249492381,7.3967713902756245,1.505149978319906,1.7380843926083425,11.850253119659511,2.1474552538225997
"Stigmata","9/10/1999",32000000,50041732,89441732,32,50.041732,89.441732,5.656854249492381,7.074018094407167,1.505149978319906,1.6993323326965482,9.457363903329512,1.951540200546369
"Men of Honor","11/10/2000",32000000,48814909,82339483,32,48.814909,82.339483,5.656854249492381,6.986766705708729,1.505149978319906,1.688552484042708,9.074110590024787,1.9156081357856833
"The Transporter 2","9/2/2005",32000000,43095600,88978202,32,43.0956,88.978202,5.656854249492381,6.564723908893655,1.505149978319906,1.6344329315698514,9.43282576961962,1.9492836256268165
"Big Mommas: Like Father, Like Son","2/18/2011",32000000,37915414,82332450,32,37.915414,82.33245,5.656854249492381,6.157549350187947,1.505149978319906,1.578815802428183,9.073723050655667,1.9155710390802834
"The Number 23","2/23/2007",32000000,35193167,77593167,32,35.193167,77.593167,5.656854249492381,5.932382910770342,1.505149978319906,1.5464583503457452,8.808698371496211,1.8898234781543954
"Alive","1/15/1993",32000000,34327309,34327309,32,34.327309,34.327309,5.656854249492381,5.858951186005905,1.505149978319906,1.5356397593751334,5.858951186005905,1.5356397593751334
"1941","12/14/1979",32000000,34175000,94875000,32,34.175,94.875,5.656854249492381,5.845938761225608,1.505149978319906,1.53370852323986,9.740379869389079,1.9771517889035368
"Dreamer: Inspired by a True Story","10/21/2005",32000000,33022286,39498360,32,33.022286,39.49836,5.656854249492381,5.746502066474874,1.505149978319906,1.5188071344271128,6.284772072239374,1.596579063785029
"A History of Violence","9/23/2005",32000000,31493782,61477797,32,31.493782,61.477797,5.656854249492381,5.611932109354139,1.505149978319906,1.4982248169752195,7.840777831312401,1.7887182965654178
"The Incredible Burt Wonderstone","3/15/2013",32000000,22537881,27392609,32,22.537881,27.392609,5.656854249492381,4.747407819010286,1.505149978319906,1.3529130814852672,5.2337948947202735,1.437633398458486
"The Quick and the Dead","2/10/1995",32000000,18543650,18543650,32,18.54365,18.54365,5.656854249492381,4.306233853380468,1.505149978319906,1.2681952216553738,4.306233853380468,1.2681952216553738
"Laws of Attraction","4/30/2004",32000000,17848322,29948322,32,17.848322,29.948322,5.656854249492381,4.22472744683015,1.505149978319906,1.2515973924148287,5.472506007305976,1.4763724939521743
"Going the Distance","9/3/2010",32000000,17804299,43603990,32,17.804299,43.60399,5.656854249492381,4.219514071548998,1.505149978319906,1.2505248790815993,6.603331734813874,1.639526231371763
"Bringing Out The Dead","10/22/1999",32000000,16640210,16640210,32,16.64021,16.64021,5.656854249492381,4.079241351035754,1.505149978319906,1.2211588028000002,4.079241351035754,1.2211588028000002
"Repo Men","3/19/2010",32000000,13794835,18048066,32,13.794835,18.048066,5.656854249492381,3.7141398735104203,1.505149978319906,1.139716510250647,4.248301542969849,1.2564306704783035
"D-War","9/14/2007",32000000,10977721,79915361,32,10.977721,79.915361,5.656854249492381,3.313264402368154,1.505149978319906,1.0405121889433018,8.939539193940592,1.9026302656261371
"Bogus","9/6/1996",32000000,4340826,4340826,32,4.340826,4.340826,5.656854249492381,2.083464902512159,1.505149978319906,0.6375723776944083,2.083464902512159,0.6375723776944083
"Cats Don't Dance","3/26/1997",32000000,3562749,3562749,32,3.562749,3.562749,5.656854249492381,1.8875245693765155,1.505149978319906,0.5517852268543169,1.8875245693765155,0.5517852268543169
"Cradle Will Rock","12/8/1999",32000000,2899970,2899970,32,2.89997,2.89997,5.656854249492381,1.7029298282665672,1.505149978319906,0.46239350517418093,1.7029298282665672,0.46239350517418093
"The Good German","12/15/2006",32000000,1308696,1308696,32,1.308696,1.308696,5.656854249492381,1.1439825173489322,1.505149978319906,0.11683877500333999,1.1439825173489322,0.11683877500333999
"George and the Dragon","12/31/2004",32000000,0,0,32,0,0,5.656854249492381,0,1.505149978319906,,0,
"Apocalypse Now","8/15/1979",31500000,78800000,81250488,31.5,78.8,81.250488,5.612486080160912,8.87693640846886,1.4983105537896004,1.8965262174895554,9.013905257988904,1.9098259780825515
"Criminal","4/15/2016",31500000,14249295,17749295,31.5,14.249295,17.749295,5.612486080160912,3.7748238369492157,1.4983105537896004,1.15379337766496,4.212991217650472,1.2491811076057422
"Flight","11/2/2012",31000000,93772375,160558438,31,93.772375,160.558438,5.5677643628300215,9.683613736617131,1.4913616938342726,1.9720749156489787,12.67116561331277,2.205633134446541
"Out of Africa","12/18/1985",31000000,79096868,258210860,31,79.096868,258.21086,5.5677643628300215,8.8936419986415,1.4913616938342726,1.8981592870723023,16.06894084873051,2.4119745041538274
"Moonraker","6/29/1979",31000000,70300000,210300000,31,70.3,210.3,5.5677643628300215,8.384509526501834,1.4913616938342726,1.8469553250198238,14.501724035437993,2.322839272686321
"The Grand Budapest Hotel","3/7/2014",31000000,59076019,164350409,31,59.076019,164.350409,5.5677643628300215,7.686092570350685,1.4913616938342726,1.7714112214979794,12.819922347658741,2.21577078919782
"Vacation","7/29/2015",31000000,58884188,100655793,31,58.884188,100.655793,5.5677643628300215,7.673603325687353,1.4913616938342726,1.769998690606087,10.03273606749425,2.0028387747093723
"Arachnophobia","7/18/1990",31000000,53208180,53208180,31,53.20818,53.20818,5.5677643628300215,7.29439373765908,1.4913616938342726,1.7259784040200972,7.29439373765908,1.7259784040200972
"Frequency","4/28/2000",31000000,44983704,68079671,31,44.983704,68.079671,5.5677643628300215,6.706989190389381,1.4913616938342726,1.653055212783278,8.251040601039362,1.8330174483216872
"Hearts in Atlantis","9/28/2001",31000000,24185781,30885781,31,24.185781,30.885781,5.5677643628300215,4.917904126759691,1.4913616938342726,1.3835601160583129,5.557497728294632,1.4897585876941726
"Extraordinary Measures","1/22/2010",31000000,12482741,15826984,31,12.482741,15.826984,5.5677643628300215,3.5330922716509967,1.4913616938342726,1.0963099595827266,3.9783142158457014,1.1993981633177753
"Get Shorty","10/20/1995",30250000,71752669,114752669,30.25,71.752669,114.752669,5.5,8.470694717672217,1.4807253789884878,1.855838060255001,10.71226722034136,2.059762795459775
"Ghostbusters","6/8/1984",30000000,242212467,295212467,30,242.212467,295.212467,5.477225575051661,15.563176635892814,1.4771212547196624,2.3841964931008466,17.18174807753856,2.470134694055403
"Toy Story","11/22/1995",30000000,191652928,364402211,30,191.652928,364.402211,5.477225575051661,13.843876913639473,1.4771212547196624,2.2825154586257446,19.0893219104294,2.561581003378311
"Chicago","12/27/2002",30000000,170687518,307687518,30,170.687518,307.687518,5.477225575051661,13.064743319330848,1.4771212547196624,2.2322017632827116,17.541023858372693,2.488109878523454
"Big Daddy","6/25/1999",30000000,163479795,228641283,30,163.479795,228.641283,5.477225575051661,12.785921750112504,1.4771212547196624,2.2134640844443476,15.120888961962521,2.3591546484581656
"American Pie 2","8/10/2001",30000000,145096820,286500000,30,145.09682,286.5,5.477225575051661,12.045614139594544,1.4771212547196624,2.161657894370291,16.926310879810757,2.457124626303409
"The Vow","2/10/2012",30000000,125014030,197618160,30,125.01403,197.61816,5.477225575051661,11.180967310568438,1.4771212547196624,2.0969587554853284,14.057672638100518,2.2958268513113484
"Speed","6/10/1994",30000000,120360822,282312677,30,120.360822,282.312677,5.477225575051661,10.970907984301025,1.4771212547196624,2.0804851450770583,16.802162866726416,2.450730380192737
"Lee Daniels' The Butler","8/16/2013",30000000,116632095,177025498,30,116.632095,177.025498,5.477225575051661,10.799634021576843,1.4771212547196624,2.0668180766956095,13.305092934662275,2.248035824797746
"Remember the Titans","9/29/2000",30000000,115654751,136706683,30,115.654751,136.706683,5.477225575051661,10.754289888226001,1.4771212547196624,2.0631634779255137,11.6921633156572,2.1357897458705195
"District 9","8/14/2009",30000000,115646235,212453431,30,115.646235,212.453431,5.477225575051661,10.753893945915591,1.4771212547196624,2.063131498366122,14.575782346069799,2.327263749086797
"Dodgeball: A True Underdog Story","6/18/2004",30000000,114326736,167791704,30,114.326736,167.791704,5.477225575051661,10.69236811936439,1.4771212547196624,2.058147804668914,12.95344371200184,2.224770484525528
"The Addams Family","11/22/1991",30000000,113502246,191502246,30,113.502246,191.502246,5.477225575051661,10.653743285812737,1.4771212547196624,2.0550044555005544,13.838433654138752,2.282173871880027
"The Hunt for Red October","3/2/1990",30000000,113485385,193275519,30,113.485385,193.275519,5.477225575051661,10.652951938312684,1.4771212547196624,2.0549399353393403,13.902356598792883,2.286176848148961
"Ace Ventura: When Nature Calls","11/10/1995",30000000,108344348,212384285,30,108.344348,212.384285,5.477225575051661,10.408859111353175,1.4771212547196624,2.0348062604049275,14.573410204890274,2.3271223787452295
"The Princess Diaries","8/3/2001",30000000,108244774,165334774,30,108.244774,165.334774,5.477225575051661,10.404074874778631,1.4771212547196624,2.0344069380254064,12.858257035850544,2.2183642060700772
"Analyze This","3/5/1999",30000000,106823373,176823373,30,106.823373,176.823373,5.477225575051661,10.335539318293941,1.4771212547196624,2.0286662869092855,13.297494989658766,2.2475396707110926
